requete,formattage,lat,lng
"rue+du+Val+de+Grace,Paris","Rue du Val de Grace, 75005 Paris, France",48.8412938,2.3393832
"rue+Gracieuse,Paris","Rue Gracieuse, 75005 Paris, France",48.8429316,2.3514259
"rue+Lacepede,Paris","Rue Lacepede, 75005 Paris, France",48.8438007,2.3523009
"place+Pierre+Lampue,Paris","Paris, France",48.856614,2.3522219
"rue+Laromiguiere,Paris","Rue Laromiguiere, 75005 Paris, France",48.8439543,2.3471309
"rue+Linne,Paris","Rue Linne, 75005 Paris, France",48.8451197,2.3546786
"rue+des+Fosses+Saint-Marcel,Paris","Rue des Fosses Saint-Marcel, 75005 Paris, France",48.8389028,2.3561044
"rue+Chambiges,Paris","Rue Chambiges, 75008 Paris, France",48.8668179,2.303578
"port+de+la+Concorde,Paris","Port de la Concorde, 75008 Paris, France",48.8643543,2.3188257
"rond-point+des+Champs+Elysees-Marcel+Dassault,Paris","Rond-Point des Champs-Elysees Marcel-Dassault, 75008 Paris, France",48.8692924,2.3092206
"rue+de+Duras,Paris","Rue de Duras, 75008 Paris, France",48.8708299,2.3178103
"port+des+Champs+Elysees,Paris","Port des Champs-Elysees, 75008 Paris, France",48.8644218,2.3144984
"avenue+de+Friedland,Paris","Avenue de Friedland, 75008 Paris, France",48.8743998,2.3010892
"voie+H/8,Paris","8 Voie d'Issy, 92240 Malakoff, France",48.8139184,2.2789879
"rue+de+la+Ville+L'Eveque,Paris","Rue de la Ville-l'Eveque, 75008 Paris, France",48.8715173,2.3204337
"rue+du+Docteur+Lancereaux,Paris","Rue du Dr Lancereaux, 75008 Paris, France",48.876055,2.3103708
"galerie+de+la+Madeleine,Paris","Galerie de la Madeleine, 75008 Paris, France",48.869678,2.3228508
"avenue+Montaigne,Paris","Avenue Montaigne, 75008 Paris, France",48.8667058,2.305701
"place+de+Narvik,Paris","Place de Narvik, 75008 Paris, France",48.8765183,2.3127407
"rue+Portalis,Paris","Rue Portalis, 75008 Paris, France",48.8773213,2.3196048
"cite+du+Retiro,Paris","Cite du Retiro, 75008 Paris, France",48.8697166,2.3216874
"rue+du+Commandant+Riviere,Paris","Rue du Commandant Riviere, 75008 Paris, France",48.8727658,2.3091865
"rue+Roy,Paris","Rue Roy, 75008 Paris, France",48.8749492,2.3184804
"avenue+Ruysdael,Paris","Avenue Ruysdael, 75008 Paris, France",48.8779449,2.3100481
"allee+de+la+Comtesse+de+Segur,Paris","Allee de la Comtesse de Segur, 75008 Paris, France",48.879467,2.30904
"rue+de+Teheran,Paris","Rue de Teheran, 75008 Paris, France",48.8767819,2.3127489
"rue+de+La+Tremoille,Paris","Rue de La Tremoille, 75008 Paris, France",48.8671262,2.303138
"boulevard+Haussmann,Paris","Boulevard Haussmann, Paris, France",48.87439939999999,2.3227203
"place+de+Clichy,Paris","Place de Clichy, Paris, France",48.8835876,2.3271952
"place+de+l'Alma,Paris","Place de l'Alma, Paris, France",48.8640025,2.301597
"avenue+Marceau,Paris","Avenue Marceau, Paris, France",48.8690492,2.2984125
"rue+de+Presbourg,Paris","Rue de Presbourg, Paris, France",48.8723855,2.2942143
"boulevard+des+Batignolles,Paris","Boulevard des Batignolles, Paris, France",48.8824788,2.3216461
"place+Prosper+Goubaux,Paris","Place Prosper Goubaux, 75017 Paris, France",48.8814254,2.3158302
"place+de+la+Republique+de+L'Equateur,Paris","Paris, France",48.856614,2.3522219
"place+des+Ternes,Paris","Place des Ternes, Paris, France",48.8782443,2.297823
"rue+d'Alsace,Paris","Rue d'Alsace, 75010 Paris, France",48.8780714,2.3583781
"voie+B/10,Paris","10 Voie Communale B 19, 75019 Paris, France",48.8835892,2.3758317
"rue+de+la+Grange+Aux+Belles,Paris","Rue de la Grange aux Belles, 75010 Paris, France",48.8755746,2.3674085
"rue+de+Belzunce,Paris","Rue de Belzunce, 75010 Paris, France",48.8794032,2.3516124
"rue+Robert+Blache,Paris","Rue Robert Blache, 75010 Paris, France",48.8775615,2.3644251
"rue+Bossuet,Paris","Rue Bossuet, 75010 Paris, France",48.87860149999999,2.3522449
"rue+Bouchardon,Paris","Rue Bouchardon, 75010 Paris, France",48.8702866,2.3574982
"rue+de+Compiegne,Paris","Rue de Compiegne, 75010 Paris, France",48.8799558,2.3535404
"passage+du+Desir,Paris","Passage du Desir, 75010 Paris, France",48.873372,2.3565104
"rue+Pierre+Dupont,Paris","Rue Pierre Dupont, 75010 Paris, France",48.879212,2.3648933
"passage+des+Petites+Ecuries,Paris","Passage des Petites Ecuries, 75010 Paris, France",48.8731511,2.3522884
"rue+des+Petites+Ecuries,Paris","Rue des Petites Ecuries, 75010 Paris, France",48.873735,2.3512309
"square+Jean+Falck,Paris","Square Jean Falck, 75010 Paris, France",48.88039329999999,2.369812
"rue+de+la+Fidelite,Paris","Rue de la Fidelite, 75010 Paris, France",48.8744928,2.3561525
"rue+des+Deux+Gares,Paris","Rue des Deux Gares, 75010 Paris, France",48.87842,2.3575677
"rue+du+Chateau+Landon,Paris","Rue du Chateau Landon, 75010 Paris, France",48.881831,2.3630376
"cour+de+la+Ferme+Saint-Lazare,Paris","Cour de la Ferme Saint-Lazare, 75010 Paris, France",48.87622589999999,2.3547476
"rue+Legouve,Paris","Rue Legouve, 75010 Paris, France",48.872334,2.3618731
"rue+du+Buisson+Saint-Louis,Paris","Rue du Buisson Saint-Louis, 75010 Paris, France",48.8725132,2.3738114
"rue+des+Ecluses+Saint-Martin,Paris","Rue des Ecluses Saint-Martin, 75010 Paris, France",48.8767832,2.3668746
"rue+Saint-Vincent+de+Paul,Paris","Rue Saint-Vincent de Paul, 75010 Paris, France",48.8808362,2.3524356
"boulevard+de+Strasbourg,Paris","Boulevard de Strasbourg, Paris, France",48.8732425,2.356429
"place+Johann+Strauss,Paris","Strada Johann Strauss, Bucuresti, Romania",44.4668338,26.103082
"rue+Taylor,Paris","Rue Taylor, 75010 Paris, France",48.86992799999999,2.3592694
"rue+Yves+Toudic,Paris","Rue Yves Toudic, 75010 Paris, France",48.8699319,2.3637532
"quai+de+Valmy,Paris","Quai de Valmy, Paris, France",48.8763061,2.3641887
"rue+Eugene+Varlin,Paris","Rue Eugene Varlin, 75010 Paris, France",48.8785877,2.3642109
"place+de+la+Bataille+de+Stalingrad,Paris","Place de la Bataille de Stalingrad, Paris, France",48.88313609999999,2.3695762
"avenue+Jean+Aicard,Paris","Avenue Jean Aicard, 75011 Paris, France",48.8652966,2.3810834
"rue+Saint-Ambroise,Paris","Rue Saint-Ambroise, 75011 Paris, France",48.8620098,2.3770331
"passage+Saint-Pierre+Amelot,Paris","Passage Saint-Pierre Amelot, 75011 Paris, France",48.8626503,2.3697865
"impasse+Amelot,Paris","Rue Amelot, 75011 Paris, France",48.8604659,2.3679104
"rue+Auguste+Barbier,Paris","Rue Auguste Barbier, 75011 Paris, France",48.8688434,2.3712118
"cite+Beauharnais,Paris","Cite Beauharnais, 75011 Paris, France",48.8536417,2.3894823
"passage+Beslay,Paris","Passage Beslay, 75011 Paris, France",48.8635016,2.3743966
"villa+Nicolas+De+Blegny,Paris","Villa Nicolas de Blegny, 75011 Paris, France",48.85724159999999,2.3766384
"place+Leon+Blum,Paris","Place Leon Blum, 75011 Paris, France",48.8580945,2.37991
"rue+des+Boulets,Paris","Rue des Boulets, 75011 Paris, France",48.8523613,2.3894332
"passage+du+Bureau,Paris","Passage du Bureau, 75011 Paris, France",48.85454619999999,2.3940039
"rue+Charriere,Paris","Rue Charriere, 75011 Paris, France",48.85289479999999,2.3819974
"cite+de+Crussol,Paris","Cite de Crussol, 75011 Paris, France",48.8634245,2.3679749
"cour+de+l'Etoile+D'Or,Paris","Cour de l'Etoile d'Or, 75012 Paris, France",48.8524016,2.3747929
