rue;x;y
Avenue du Marechal Gallieni;23132;488610
Avenue du Marechal Lyautey;22591;488508
Avenue du Nouveau Conservatoire;23899;488889
Avenue du Parc de Passy;22826;488562
Avenue du Pere Lachaise;23977;488641
Avenue du Polygone;24317;488375
Avenue du President Kennedy;22799;488533
Avenue du Ranelagh;22687;488584
Avenue du Tremblay;24563;488329
Avenue Duquesne;23101;488516
Avenue Dutuit;23156;488660
Avenue Edison;23607;488292
Avenue Edouard Vaillant;22559;488369
Avenue Edward Tuck;23173;488654
Avenue Elisee Reclus;22979;488582
Avenue Emile Acollas;23005;488521
Avenue Emile Deschanel;23000;488568
Avenue Emile et Armand Massard;22958;488879
Avenue Emile Laurent;24113;488410
Avenue Emile Pouvillon;22990;488575
Avenue Emile Zola;22949;488469
Avenue Erlanger;22623;488474
Avenue Ernest Renan;22867;488317
Avenue Ernest Reyer;23210;488231
Avenue Felix d'Herelle;22569;488346
Avenue Felix Faure;22850;488399
Avenue Foch;22849;488727
Avenue Franco-Russe;22998;488602
Avenue Frederic le Play;23041;488542
Avenue Fremiet;22854;488563
Avenue Frochot;23381;488814
Avenue Gabriel;23163;488683
Avenue Gambetta;24014;488683
Avenue George V;23009;488683
Avenue Georges Bernanos;23373;488402
Avenue Georges Lafenestre;23106;488248
Avenue Georges Lafont;22558;488362
Avenue Georges Mandel;22817;488636
Avenue Gourgaud;22973;488862
Avenue Gustave V de Suede;22901;488615
Avenue Henri Martin;22728;488640
Avenue Hoche;23005;488760
Avenue Ingres;22676;488573
Avenue Jean Aicard;23810;488652
Avenue Jean Jaures;23837;488864
Avenue Jean Moulin;23233;488263
Avenue Joseph Bedier;23731;488205
Avenue Joseph Bouvard;22981;488564
Avenue Jules Janin;22757;488602
Avenue Junot;23360;488881
Avenue Kleber;22908;488683
Avenue Lamoriciere;24124;488452
Avenue Ledru-Rollin;23721;488484
Avenue Leon Bollee;23620;488179
Avenue Leon Gaumont;24158;488509
Avenue Leopold II;22714;488523
Avenue Mac-Mahon;22945;488764
Avenue Marc Sangnier;23079;488258
Avenue Marceau;22984;488690
Avenue Marcel Proust;22826;488562
Avenue Mathurin Moreau;23747;488784
Avenue Matignon;23128;488705
Avenue Milleret de Brou;22722;488537
Avenue Moderne;23821;488835
Avenue Moliere;22628;488444
Avenue Montaigne;23057;488667
Avenue Mozart;22688;488538
Avenue Myron Herrick;23100;488736
Avenue Niel;22957;488815
Avenue Parmentier;23746;488650
Avenue Paul Adam;22965;488875
Avenue Paul Appell;23274;488215
Avenue Paul Deroulede;22991;488505
Avenue Percier;23144;488742
Avenue Perrichont;22729;488494
Avenue Philippe-Auguste;23927;488535
Avenue Pierre de Coubertin;23440;488176
Avenue Pierre Loti;22977;488557
Avenue Pierre Masse;23343;488172
Avenue Pierre Mendes-France;23698;488388
Avenue Prudhon;22693;488590
Avenue Rachel;23310;488853
Avenue Raphael;22679;488593
Avenue Rapp;23008;488603
Avenue Raymond Poincare;22859;488673
Avenue Rene Boylesve;22842;488564
Avenue Rene Fonck;24082;488796
Avenue Robert Schuman;23079;488617
Avenue Rockefeller;23390;488195
Avenue Rodin;22751;488635
Avenue Ruysdael;23100;488779
Avenue Saint-Honore d'Eylau;22863;488674
Avenue Sainte-Eugenie;22981;488354
Avenue Secretan;23741;488808
Avenue Silvestre de Sacy;22968;488589
Avenue Stephane Mallarme;22928;488865
Avenue Stephen Pichon;23591;488329
Avenue Sully-Prudhomme;23083;488617
Avenue Taillade;23940;488745
Avenue Theodore Rousseau;22704;488541
Avenue Theophile Gautier;22718;488497
Avenue Victor Hugo;22833;488688
Avenue Victoria;23482;488575
Avenue Villemain;23167;488318
Avenue Vincent d'Indy;24115;488431
Avenue Winston Churchill;23138;488658
Bd Serurier;23958;488881
Boulevard Arago;23422;488348
Boulevard Auguste Blanqui;23474;488302
Boulevard Barbes;23496;488878
Boulevard Beaumarchais;23681;488572
Boulevard Berthier;23034;488899
Boulevard Bessieres;23202;488968
Boulevard Bourdon;23672;488508
Boulevard Brune;23154;488253
Boulevard Carnot;24131;488440
Boulevard d'Algerie;24000;488811
Boulevard d'Aurelle de Paladines;22828;488824
Boulevard d'Indochine;23966;488861
Boulevard de Beausejour;22680;488570
Boulevard de Belleville;23799;488695
Boulevard de Bercy;23827;488398
Boulevard de Bonne Nouvelle;23504;488701
Boulevard de Charonne;23963;488538
Boulevard de Clichy;23337;488833
Boulevard de Denain;23543;488792
Boulevard de Dixmude;22851;488833
Boulevard de Douaumont;23069;488955
Boulevard de Grenelle;22945;488502
Boulevard de l'Hopital;23604;488380
Boulevard de l'Yser;22876;488849
Boulevard de la Chapelle;23563;488841
Boulevard de la Commanderie;23857;489014
Boulevard de la Guyane;24136;488389
Boulevard de la Madeleine;23262;488696
Boulevard de la Tour-Maubourg;23100;488580
Boulevard de la Villette;23704;488784
Boulevard de Magenta;23561;488760
Boulevard de Menilmontant;23871;488629
Boulevard de Montmorency;22620;488505
Boulevard de Port-Royal;23440;488379
Boulevard de Reims;22981;488898
Boulevard de Reuilly;23947;488394
Boulevard de Sebastopol;23509;488634
Boulevard de Strasbourg;23564;488732
Boulevard Delessert;22865;488589
Boulevard des Batignolles;23216;488824
Boulevard des Capucines;23310;488704
Boulevard des Filles du Calvaire;23670;488619
Boulevard des Freres Voisin;22697;488278
Boulevard des Italiens;23370;488714
Boulevard Diderot;23817;488467
Boulevard du Bois le Pretre;23204;488994
Boulevard du Commandant Charcot;22567;488771
Boulevard du Fort de Vaux;23030;488926
Boulevard du General Jean Simon;23812;488254
Boulevard du General Martial Valin;22737;488372
Boulevard du Palais;23458;488552
Boulevard du Temple;23657;488647
Boulevard Edgar Quinet;23266;488404
Boulevard Emile Augier;22737;488611
Boulevard Exelmans;22617;488424
Boulevard Flandrin;22736;488679
Boulevard Gallieni;22673;488299
Boulevard Garibaldi;23063;488463
Boulevard Haussmann;23227;488743
Boulevard Henri IV;23637;488515
Boulevard Hippolyte Marques;23703;488183
Boulevard Jourdan;23355;488209
Boulevard Jules Ferry;23677;488677
Boulevard Jules Sandeau;22726;488621
Boulevard Kellermann;23518;488210
Boulevard Lannes;22718;488668
Boulevard Lefebvre;22960;488298
Boulevard Macdonald;23822;488989
Boulevard Maillot;22742;488784
Boulevard Marbeau;22790;488746
Boulevard Massena;23704;488218
Boulevard Maurice Barres;22646;488796
Boulevard Montmartre;23416;488717
Boulevard Morland;23640;488495
Boulevard Mortier;24087;488708
Boulevard Ney;23497;488981
Boulevard Ornano;23470;488946
Boulevard Pasteur;23136;488419
Boulevard Pereire;22969;488846
Boulevard Peripherique;23150;488224
Boulevard Pershing;22837;488805
Boulevard Poniatowski;23958;488310
Boulevard Raspail;23287;488453
Boulevard Richard Lenoir;23720;488602
Boulevard Richard Wallace;22506;488752
Boulevard Romain Rolland;23225;488204
Boulevard Saint-Denis;23538;488693
Boulevard Saint-Germain;23350;488533
Boulevard Saint-Jacques;23367;488328
Boulevard Saint-Marcel;23570;488384
Boulevard Saint-Martin;23588;488684
Boulevard Saint-Michel;23407;488471
Boulevard Suchet;22634;488553
Boulevard Thierry de Martel;22799;488767
Boulevard Victor;22826;488347
Boulevard Vincent Auriol;23659;488341
Boulevard Voltaire;23803;488576
Carrefour de Beaute;24642;488273
Carrefour de l'Odeon;23387;488518
Carrefour de la Croix Catelan;22546;488663
Carrefour de la Ferme-de-la-Faisanderie;24576;488238
