rue;x;y
Rue Bignon;23884;488406
Rue Biot;23261;488843
Rue Biscornet;23697;488504
Rue Bisson;23814;488709
Rue Bixio;23098;488533
Rue Blainville;23486;488444
Rue Blaise-Desgoffe;23246;488457
Rue Blanchard;24103;488575
Rue Blanche;23314;488804
Rue Blanche-Antoinette;23900;488821
Rue Bleue;23463;488758
Rue Blomet;23006;488409
Rue Blondel;23538;488686
Rue Bobillot;23510;488264
Rue Bochart de Saron;23425;488812
Rue Boileau;22632;488435
Rue Boinod;23509;488935
Rue Boissiere;22897;488669
Rue Boissieu;23490;488843
Rue Boissonade;23331;488390
Rue Boissy d'Anglas;23218;488687
Rue Borda;23571;488662
Rue Borromee;23049;488414
Rue Bosio;22653;488492
Rue Bosquet;23059;488559
Rue Bossuet;23522;488786
Rue Botha;23871;488713
Rue Botzaris;23845;488793
Rue Bouchardon;23574;488702
Rue Boucher;23437;488595
Rue Bouchut;23100;488469
Rue Boucicaut;22862;488423
Rue Boudreau;23291;488722
Rue Bougainville;23081;488558
Rue Bouilloux-Lafont;22799;488370
Rue Boulay;23174;488937
Rue Boulle;23722;488568
Rue Bourdaloue;23386;488764
Rue Bouret;23738;488817
Rue Bourgon;23568;488229
Rue Boursault;23192;488847
Rue Bourseul;23024;488384
Rue Boussingault;23444;488242
Rue Boutarel;23539;488524
Rue Boutebrie;23446;488514
Rue Boutin;23421;488283
Rue Boyer;23924;488678
Rue Boyer-Barret;23177;488328
Rue Brahms;23927;488406
Rue Brancion;23029;488321
Rue Brantome;23532;488626
Rue Bremontier;23040;488846
Rue Bretonneau;24029;488675
Rue Brezin;23269;488314
Rue Bridaine;23197;488856
Rue Brignole;22958;488653
Rue Brillat-Savarin;23471;488223
Rue Brisemiche;23516;488594
Rue Broca;23470;488371
Rue Brochant;23183;488891
Rue Brongniart;23426;488697
Rue Broussais;23366;488291
Rue Brown-Sequard;23154;488414
Rue Bruant;23650;488349
Rue Bruller;23348;488281
Rue Brunel;22881;488778
Rue Bruneseau;23851;488242
Rue Bruno Coquatrix;23285;488714
Rue Bude;23555;488517
Rue Buffault;23420;488757
Rue Buffon;23603;488423
Rue Buot;23495;488268
Rue Burnouf;23740;488758
Rue Burq;23363;488862
Rue Cabanis;23396;488303
Rue Cacheux;23462;488204
Rue Cadet;23434;488754
Rue Caffarelli;23619;488637
Rue Calmels Prolongee;23380;488939
Rue Cambaceres;23179;488732
Rue Cambon;23261;488674
Rue Cambronne;23024;488437
Rue Camille Blaisot;23287;488996
Rue Camille Bombois;24083;488661
Rue Camille Desmoulins;23812;488590
Rue Camille Pissarro;23015;488900
Rue Camille Tahan;23288;488868
Rue Campagne Premiere;23322;488395
Rue Camulogene;23028;488293
Rue Cannebiere;23982;488381
Rue Cantagrel;23748;488269
Rue Carcel;22996;488402
Rue Cardan;23176;488931
Rue Cardinale;23361;488542
Rue Cardinet;23108;488851
Rue Carducci;23866;488773
Rue Carolus Duran;24010;488779
Rue Caron;23627;488552
Rue Carrier-Belleuse;23025;488468
Rue Carriere-Mainguet;23870;488565
Rue Casimir Delavigne;23392;488504
Rue Casimir Perier;23194;488581
Rue Cassette;23308;488495
Rue Cassini;23365;488373
Rue Castagnary;23078;488323
Rue Castex;23659;488522
Rue Catinat;23409;488656
Rue Cauchy;22776;488424
Rue Cave;23548;488867
Rue Cels;23241;488366
Rue Censier;23530;488404
Rue Cepre;23038;488465
Rue Cernuschi;23071;488862
Rue Cesar Franck;23097;488473
Rue Chabanais;23370;488677
Rue Chalgrin;22893;488744
Rue Chaligny;23837;488470
Rue Chambiges;23035;488668
Rue Champfleury;22974;488540
Rue Champollion;23429;488499
Rue Changarnier;24116;488453
Rue Chanoinesse;23508;488537
Rue Chanzy;23849;488526
Rue Chapon;23557;488635
Rue Chaptal;23332;488808
Rue Charbonnel;23436;488227
Rue Charcot;23711;488307
Rue Chardon Lagache;22655;488438
Rue Charlemagne;23605;488541
Rue Charles Baudelaire;23770;488497
Rue Charles Bertheau;23638;488230
Rue Charles Bossut;23832;488428
Rue Charles Cros;24078;488767
Rue Charles Delescluze;23801;488525
Rue Charles Dickens;22846;488570
Rue Charles Fourier;23514;488250
Rue Charles Friedel;23951;488726
Rue Charles Gerhardt;23031;488860
Rue Charles Lamoureux;22778;488689
Rue Charles Lauth;23677;488992
Rue Charles le Goffic;23202;488241
Rue Charles Lecocq;22942;488411
Rue Charles Luizet;23675;488616
Rue Charles Marie Widor;22628;488408
Rue Charles Monselet;24007;488798
Rue Charles Moureu;23618;488280
Rue Charles Nicolle;23862;488442
Rue Charles Nodier;23449;488852
Rue Charles Renouvier;24001;488617
Rue Charles Tellier;22621;488384
Rue Charles Tournemire;22857;488856
Rue Charles V;23633;488526
Rue Charles Weiss;23079;488329
Rue Charles-Francois Dupuis;23629;488651
Rue Charlot;23625;488628
Rue Charras;23297;488738
Rue Charriere;23819;488528
Rue Chasseloup Laubat;23050;488474
Rue Chateaubriand;23009;488735
Rue Chauchat;23396;488735
Rue Chaudron;23656;488831
Rue Chauveau Lagarde;23231;488714
Rue Chauvelot;23025;488290
Rue Chenier;23515;488691
Rue Chereau;23515;488275
Rue Chevert;23083;488553
Rue Choderlos de Laclos;23787;488323
Rue Chomel;23247;488518
Rue Choron;23407;488775
Rue Chretien de Troyes;23793;488443
Rue Christian Dewet;23929;488461
Rue Christine;23399;488544
Rue Christine de Pisan;23080;488900
Rue Christophe Colomb;23001;488699
Rue Cimarosa;22905;488679
Rue Cino del Duca;22834;488847
Rue Civiale;23754;488726
Rue Clapeyron;23239;488817
Rue Claude Bernard;23469;488399
Rue Claude Debussy;22891;488853
Rue Claude Decaen;23989;488363
Rue Claude Farrere;22542;488426
Rue Claude Terrasse;22619;488385
Rue Claude Tillier;23883;488483
Rue Clauzel;23384;488791
Rue Clavel;23840;488753
Rue Clemence Royer;23430;488633
Rue Clement Marot;23032;488676
Rue Cler;23062;488571
Rue Clisson;23668;488316
Rue Clotaire;23445;488454
Rue Clotilde;23468;488455
Rue Clotilde de Vaux;23682;488576
Rue Clouet;23045;488465
Rue Clovis;23490;488461
Rue Clovis Hugues;23741;488825
Rue Cochin;23532;488499
Rue Cognacq Jay;23037;488618
Rue Colbert;23388;488680
Rue Colette Magny;23762;488949
Rue Commines;23652;488617
Rue Compans;23926;488787
Rue Condorcet;23444;488800
Rue Constance;23331;488855
Rue Conte;23563;488658
Rue Copernic;22887;488692
Rue Copreaux;23067;488419
Rue Coq Heron;23422;488642
Rue Coquilliere;23420;488639
Rue Corbineau;23820;488393
Rue Corbon;23030;488362
Rue Coriolis;23903;488367
Rue Corot;22700;488471
Rue Cortot;23406;488876
Rue Corvetto;23148;488773
Rue Corvisart;23473;488320
Rue Couche;23303;488277
Rue Courat;24054;488570
Rue Cournot;22930;488401
Rue Courtalon;23475;488595
Rue Coustou;23339;488841
Rue Coypel;23555;488332
Rue Coysevox;23293;488911
Rue Crebillon;23381;488504
Rue Cremieux;23709;488469
Rue Crespin du Gast;23818;488657
Rue Cretet;23416;488818
Rue Crevaux;22812;488705
Rue Cristino Garcia;24141;488498
Rue Croce-Spinelli;23166;488354
Rue Croix des Petits Champs;23400;488640
Rue Crozatier;23809;488477
Rue Cugnot;23646;488926
Rue Cujas;23435;488474
Rue Cunin-Gridaine;23543;488651
Rue Curnonsky;22961;488903
Rue Custine;23464;488888
Rue Cuvier;23579;488453
Rue Cyrano de Bergerac;23421;488908
Rue d'Abbeville;23505;488785
Rue d'Aix;23695;488703
Rue d'Alembert;23329;488297
Rue d'Alesia;23247;488285
Rue d'Alger;23297;488653
Rue d'Aligre;23782;488491
Rue d'Alsace;23583;488780
Rue d'Alsace-Lorraine;23922;488834
Rue d'Amboise;23388;488710
Rue d'Amsterdam;23270;488795
Rue d'Andigne;22718;488590
Rue d'Anjou;23217;488721
Rue d'Ankara;22827;488550
Rue d'Annam;23943;488669
Rue d'Antin;23331;488687
Rue d'Arcole;23497;488543
Rue d'Arcueil;23428;488204
Rue d'Argenteuil;23339;488652
Rue d'Argentine;22899;488745
Rue d'Argout;23434;488658
Rue d'Armaille;22915;488781
Rue d'Armenonville;22809;488810
Rue d'Arras;23512;488471
Rue d'Arsonval;23133;488403
Rue d'Artagnan;23857;488454
Rue d'Assas;23320;488452
Rue d'Astorg;23195;488733
Rue d'Aubervilliers;23691;488920
Rue d'Austerlitz;23707;488470
Rue d'Auteuil;22645;488479
Rue d'Avron;24046;488524
Rue d'Ecosse;23465;488481
Rue d'Edimbourg;23201;488794
Rue d'Enghien;23507;488720
Rue d'Eupatoria;23872;488687
Rue d'Hauteville;23505;488738
Rue d'Hautpoul;23877;488836
Rue d'Heliopolis;22938;488850
Rue d'Italie;23550;488241
Rue d'Olivet;23194;488495
Rue d'Oradour-sur-Glane;22829;488311
Rue d'Oran;23526;488890
Rue d'Orchampt;23375;488865
Rue d'Ormesson;23627;488552
Rue d'Orsel;23432;488836
Rue d'Oslo;23292;488918
Rue d'Ulm;23446;488431
Rue d'Uzes;23456;488703
Rue Dagorno;23996;488424
Rue Daguerre;23276;488346
Rue Dalayrac;23352;488678
Rue Dalloz;23704;488218
Rue Damesme;23554;488234
Rue Dampierre;23838;488941
Rue Damremont;23351;488918
Rue Dancourt;23418;488828
Rue Dangeau;22689;488526
Rue Daniel Stern;22937;488512
Rue Danielle Casanova;23320;488678
Rue Dante;23461;488510
Rue Danton;23418;488524
Rue Danville;23275;488342
Rue Darboy;23730;488690
Rue Darcet;23249;488838
Rue Dareau;23366;488308
Rue Darmesteter;23753;488228
Rue Darwin;23396;488901
Rue Daubenton;23525;488410
Rue Daunou;23315;488695
Rue Dauphine;23394;488548
Rue Daval;23710;488546
Rue David d'Angers;23925;488821
Rue Daviel;23449;488280
Rue Davy;23242;488913
Rue de Babylone;23205;488516
Rue de Bagnolet;24026;488594
Rue de Bazeilles;23503;488389
Rue de Bearn;23661;488571
Rue de Beauce;23609;488626
Rue de Beaujolais;23382;488662
Rue de Beaune;23294;488582
Rue de Belfort;23839;488566
Rue de Belgrade;23018;488557
Rue de Bellechasse;23220;488574
Rue de Bellefond;23470;488778
Rue de Bellevue;23943;488794
Rue de Bellievre;23720;488378
Rue de Belloy;22921;488688
Rue de Belzunce;23516;488794
Rue de Bercy;23768;488419
Rue de Berne;23231;488809
Rue de Berri;23053;488730
Rue de Bievre;23503;488506
Rue de Birague;23650;488544
Rue de Bizerte;23238;488853
Rue de Boulainvilliers;22754;488546
Rue de Bourbon le Chateau;23362;488538
Rue de Bourgogne;23177;488584
Rue de Braque;23567;488609
Rue de Bretagne;23620;488631
Rue de Bretonvilliers;23590;488509
Rue de Brissac;23649;488489
Rue de Brosse;23537;488552
Rue de Bruxelles;23304;488832
Rue de Bucarest;23261;488806
Rue de Buci;23371;488538
Rue de Budapest;23275;488764
Rue de Buenos Ayres;22924;488572
Rue de Buzenval;24012;488521
Rue de Cadix;22891;488341
Rue de Cahors;23949;488857
Rue de Calais;23308;488825
Rue de Cambo;23974;488780
Rue de Cambrai;23797;488959
Rue de Campo-Formio;23598;488345
Rue de Candie;23797;488513
Rue de Candolle;23511;488399
Rue de Capri;23989;488363
Rue de Casablanca;22892;488388
Rue de Castellane;23250;488723
Rue de Castiglione;23278;488659
Rue de Caumartin;23282;488726
Rue de Cerisoles;23027;488686
Rue de Chablis;23847;488361
Rue de Chabrol;23525;488769
Rue de Chaillot;22972;488670
Rue de Chalon;23766;488445
Rue de Chambertin;23801;488400
Rue de Chambery;23032;488308
Rue de Champagny;23188;488578
Rue de Chanaleilles;23183;488531
Rue de Chantilly;23468;488778
Rue de Charenton;23853;488432
Rue de Charonne;23843;488544
Rue de Chartres;22798;488798
Rue de Chateaudun;23371;488760
Rue de Chatillon;23231;488276
Rue de Chaumont;23717;488811
Rue de Cherbourg;23042;488313
Rue de Chevreuse;23320;488420
Rue de Citeaux;23808;488484
Rue de Clery;23479;488685
Rue de Clichy;23291;488798
Rue de Clignancourt;23482;488897
Rue de Cluny;23447;488505
Rue de Colmar;23805;488881
Rue de Commaille;23246;488527
Rue de Compiegne;23535;488799
Rue de Conde;23380;488505
Rue de Constantine;23147;488595
Rue de Constantinople;23199;488801
Rue de Copenhague;23206;488803
Rue de Cotte;23776;488494
Rue de Courcelles;23010;488812
Rue de Courty;23202;488609
Rue de Crimee;23819;488861
Rue de Cronstadt;23018;488341
Rue de Croulebarbe;23508;488326
Rue de Crussol;23686;488643
Rue de Dijon;23857;488354
Rue de Domremy;23715;488295
Rue de Douai;23320;488828
Rue de Dreux;22804;488793
Rue de Dunkerque;23516;488807
Rue de Duras;23178;488708
Rue de Fecamp;23997;488358
Rue de Fleurus;23299;488470
Rue de Fontarabie;24017;488575
Rue de Fourcy;23592;488549
Rue de Franche Comte;23638;488646
Rue de Franqueville;22705;488615
Rue de Furstemberg;23358;488543
Rue de Gergovie;23158;488331
Rue de Gramont;23368;488700
Rue de Grancey;23307;488338
Rue de Gravelle;23975;488359
Rue de Grenelle;23175;488575
Rue de Guebriant;24094;488731
Rue de Hanovre;23348;488701
Rue de Harlay;23432;488565
Rue de Hesse;23656;488590
Rue de Jarente;23629;488556
Rue de Jessaint;23568;488849
Rue de Jouy;23581;488549
Rue de Julienne;23466;488349
Rue de Kabylie;23678;488848
Rue de l'Abbaye;23350;488541
Rue de l'Abbe Carton;23175;488291
Rue de l'Abbe de l'Epee;23407;488435
Rue de l'Abbe Gillet;22806;488568
Rue de l'Abbe Groult;22972;488391
Rue de l'Abbe Migne;23582;488590
Rue de l'Abbe Patureau;23418;488893
Rue de l'Abbe Roger Derry;23015;488502
Rue de l'Abbe Rousselot;23007;488893
Rue de l'Ambroisie;23854;488341
Rue de l'Amiral Cloue;22744;488471
Rue de l'Amiral d'Estaing;22932;488671
Rue de l'Amiral de Coligny;23403;488599
Rue de l'Amiral la Ronciere le Noury;24084;488362
Rue de l'Amiral Mouchez;23416;488229
Rue de l'Ancienne Comedie;23385;488531
Rue de l'Aqueduc;23628;488819
Rue de l'Arbalete;23479;488400
Rue de l'Arc de Triomphe;22936;488770
Rue de l'Arcade;23240;488727
Rue de l'Argonne;23835;488933
Rue de l'Arioste;22549;488413
Rue de l'Armee d'Orient;23347;488872
Rue de l'Armorique;23147;488396
Rue de l'Arrivee;23220;488430
Rue de l'Arsenal;23661;488507
Rue de l'Assomption;22702;488543
Rue de l'Atlas;23763;488752
Rue de l'Aubrac;23865;488347
Rue de l'Aude;23336;488266
Rue de l'Ave Maria;23601;488529
Rue de l'Avenir;23959;488718
Rue de l'Echaude;23363;488542
Rue de l'Echelle;23342;488639
Rue de l'Ecole de Medecine;23410;488509
Rue de l'Egalite;23949;488808
Rue de l'Elysee Menilmontant;23863;488691
Rue de l'Empereur Valentinien;23376;488262
Rue de l'Encheval;23890;488791
Rue de l'Epee de Bois;23508;488415
Rue de l'Equerre;23825;488744
Rue de l'Ermitage;23918;488712
Rue de l'Escaut;23737;488930
Rue de l'Esperance;23478;488264
Rue de l'Essai;23585;488390
Rue de l'Est;23934;488710
Rue de l'Estrapade;23466;488447
Rue de l'Etoile;22959;488769
Rue de l'Evangile;23652;488940
Rue de l'Exposition;23030;488576
Rue de l'Harmonie;23070;488321
Rue de l'Hirondelle;23433;488535
Rue de l'Hotel Colbert;23487;488516
Rue de l'Hotel de ville;23566;488540
Rue de l'Hotel Saint-Paul;23635;488540
Rue de l'Indre;24036;488629
Rue de l'Industrie;23570;488226
Rue de l'Interne Loeb;23540;488223
Rue de l'Isly;23258;488748
Rue de l'Odeon;23386;488514
Rue de l'Oratoire;23405;488618
Rue de l'Ouest;23173;488350
Rue de l'Ourcq;23802;488916
Rue de l'Universite;23140;488610
Rue de l'Yvette;22667;488532
Rue de la Banque;23406;488674
Rue de la Barriere Blanche;23305;488894
Rue de la Bastille;23681;488538
Rue de la Baume;23122;488745
Rue de la Baume;23121;488746
Rue de la Bidassoa;23930;488666
Rue de la Bienfaisance;23167;488765
Rue de la Boule Rouge;23447;488735
Rue de la Bourse;23394;488695
Rue de la Breche aux Loups;23939;488374
Rue de la Briqueterie;23066;488278
Rue de la Bucherie;23481;488521
Rue de la Butte aux Cailles;23498;488277
Rue de la Cavalerie;23003;488497
Rue de la Cerisaie;23658;488520
Rue de la Chaise;23271;488531
Rue de la Chapelle;23595;488942
Rue de la Chaussee d'Antin;23329;488736
Rue de la Chine;23988;488674
Rue de la Cite;23477;488546
Rue de la Cite Universitaire;23414;488204
Rue de la Clef;23526;488414
Rue de la Cloture;23942;488974
Rue de la Collegiale;23521;488378
Rue de la Colombe;23503;488545
Rue de la Colonie;23487;488239
Rue de la Comete;23090;488591
Rue de la Convention;22893;488404
Rue de la Corderie;23629;488651
Rue de la Correze;23952;488839
Rue de la Cossonnerie;23489;488613
Rue de la Cour des Noues;24019;488642
Rue de la Coutellerie;23505;488574
Rue de la Croix Faubin;23858;488580
Rue de la Croix Jarry;23818;488270
Rue de la Croix Moreau;23641;488956
Rue de la Croix Saint-Simon;24084;488546
Rue de la Cure;22681;488532
Rue de la Dhuis;24048;488679
Rue de la Duee;23967;488713
Rue de la Durance;23931;488385
Rue de la Faisanderie;22751;488676
Rue de la Felicite;23102;488870
Rue de la Ferme de Savy;23832;488718
Rue de la Ferronnerie;23473;488603
Rue de la Fidelite;23561;488744
Rue de la Folie Mericourt;23712;488646
Rue de la Folie-Regnault;23866;488596
Rue de la Fontaine A Mulard;23488;488229
Rue de la Fontaine au Roi;23737;488681
Rue de la Forge Royale;23806;488516
Rue de la Fraternite;23937;488811
Rue de la Gaite;23235;488396
Rue de la Gare;23741;489010
Rue de la Gare de Reuilly;23957;488418
Rue de la Glaciere;23444;488318
Rue de la Goutte d'Or;23523;488850
Rue de la Grande Truanderie;23491;488627
Rue de la Grange aux Belles;23674;488755
Rue de la Grange Bateliere;23415;488731
Rue de la Guadeloupe;23623;488907
Rue de la Harpe;23444;488522
Rue de la Huchette;23454;488530
Rue de La Jonquiere;23217;488938
Rue de la Jussienne;23443;488653
Rue de la Justice;24079;488690
Rue de la Lancette;23934;488369
Rue de la Legion d'Honneur;23249;488604
Rue de la Legion Etrangere;23244;488208
Rue de la Liberte;23928;488807
Rue de la Lingerie;23465;488604
Rue de la Louisiane;23622;488912
Rue de la Lune;23497;488697
Rue de la Madone;23613;488926
Rue de la Main d'Or;23779;488516
Rue de la Maison Blanche;23581;488259
Rue de la Mare;23897;488709
Rue de la Marne;23836;488898
Rue de la Marseillaise;23980;488878
Rue de la Meurthe;23830;488894
Rue de la Michodiere;23348;488698
Rue de la Mire;23384;488865
Rue de la Monnaie;23428;488591
Rue de la Montagne de l'Esperou;22760;488420
Rue de la Montagne de la Fage;22770;488396
Rue de la Montagne Sainte Genevieve;23485;488480
Rue de la Moskova;23345;488968
Rue de la Nativite;23865;488353
Rue de la Neva;23006;488784
Rue de la Nouvelle-Caledonie;24089;488381
Rue de la Parcheminerie;23444;488518
Rue de la Perle;23614;488595
Rue de la Petite Arche;22615;488355
Rue de la Petite Pierre;23898;488547
Rue de la Petite Truanderie;23484;488628
Rue de la Pierre Levee;23697;488684
Rue de la Plaine;24030;488499
Rue de la Planche;23253;488530
Rue de la Pointe d'Ivry;23644;488226
Rue de la Pompe;22791;488654
Rue de la Porte d'Issy;22824;488332
Rue de la Poterne des Peupliers;23529;488198
Rue de la Presentation;23766;488711
Rue de la Prevoyance;23932;488830
Rue de la Procession;23085;488372
Rue de la Providence;23480;488256
Rue de la Py;24053;488648
Rue de la Reine Blanche;23535;488364
Rue de la Reunion;24011;488554
Rue de la Reynie;23490;488600
Rue de la Rochefoucauld;23346;488789
Rue de la Roquette;23789;488571
Rue de la Sabliere;23231;488318
Rue de la Saida;22953;488321
Rue de la Saone;23296;488281
Rue de la Sorbonne;23431;488491
Rue de la Sourdiere;23321;488658
Rue de la Terrasse;23135;488819
Rue de la Tombe Issoire;23324;488277
Rue de la Tour;22788;488614
Rue de la Tour d'Auvergne;23430;488792
Rue de la Tour des Dames;23330;488777
Rue de La Tremoille;23031;488671
Rue de la Trinite;23309;488776
Rue de la Vega;24051;488383
Rue de la Victoire;23352;488752
Rue de la ville Neuve;23486;488699
Rue de la Ville-l'Eveque;23204;488715
Rue de la Villette;23878;488770
Rue de la Vistule;23606;488233
Rue de la Vrilliere;23402;488655
Rue de Laborde;23196;488756
Rue de Laghouat;23548;488878
Rue de Lagny;24113;488490
Rue de Lancry;23613;488707
Rue de Langeac;22922;488357
Rue de Lanneau;23466;488483
Rue de Lappe;23729;488535
Rue de Lasteyrie;22843;488714
Rue de Latran;23464;488496
Rue de Lesdiguieres;23668;488527
Rue de Lesseps;23999;488589
Rue de Levis;23142;488833
Rue de Libourne;23868;488318
Rue de Liege;23262;488795
Rue de Lille;23257;488596
Rue de Lisbonne;23125;488776
Rue de Lobau;23532;488560
Rue de Logelbach;23083;488814
Rue de Longchamp;22824;488657
Rue de Lorraine;23834;488854
Rue de Lourmel;22863;488435
Rue de Louvois;23373;488682
Rue de Luneville;23874;488865
Rue de Lutece;23468;488549
Rue de Lyon;23709;488494
Rue de Madrid;23200;488782
Rue de Magdebourg;22889;488648
Rue de Malte;23675;488659
Rue de Marignan;23063;488683
Rue de Marivaux;23374;488708
Rue de Marseille;23636;488715
Rue de Martignac;23185;488579
Rue de Maubeuge;23492;488796
Rue de Mazagran;23516;488705
Rue de Meaux;23756;488827
Rue de Medicis;23394;488484
Rue de Menilmontant;23832;488670
Rue de Mezieres;23313;488502
Rue de Milan;23283;488788
Rue de Mirbel;23520;488408
Rue de Miromesnil;23157;488759
Rue de Mogador;23313;488746
Rue de Monceau;23114;488780
Rue de Mondovi;23243;488666
Rue de Mont-Louis;23886;488582
Rue de Montebello;23024;488293
Rue de Montempoivre;24066;488401
Rue de Montevideo;22747;488684
Rue de Montfaucon;23358;488527
Rue de Montholon;23460;488765
Rue de Montpensier;23369;488650
Rue de Montreuil;23899;488504
Rue de Monttessuy;22991;488595
Rue de Montyon;23439;488730
Rue de Moscou;23243;488808
Rue de Moussy;23556;488576
Rue de Mouzaia;23948;488803
Rue de Mulhouse;23469;488686
Rue de Musset;22642;488419
Rue de Nancy;23589;488722
Rue de Nantes;23817;488920
Rue de Naples;23182;488795
Rue de Narbonne;23249;488530
Rue de Navarin;23386;488796
Rue de Navarre;23531;488443
Rue de Nemours;23725;488656
Rue de Nesle;23391;488551
Rue de Nevers;23394;488557
Rue de Noisiel;22785;488691
Rue de Noisy le Sec;24131;488729
Rue de Normandie;23642;488630
Rue de Palestine;23895;488761
Rue de Palestro;23517;488657
Rue de Panama;23522;488877
Rue de Paradis;23517;488751
Rue de Parme;23277;488812
Rue de Passy;22811;488579
Rue de Patay;23734;488263
Rue de Phalsbourg;23089;488828
Rue de Picardie;23628;488638
Rue de Picpus;23983;488417
Rue de Plelo;22873;488403
Rue de Poissy;23525;488491
Rue de Poitiers;23260;488588
Rue de Poitou;23627;488615
Rue de Pomereu;22779;488674
Rue de Pont A Mousson;23240;488981
Rue de Pontoise;23517;488495
Rue de Port Mahon;23340;488694
Rue de Pouy;23508;488273
Rue de Prague;23758;488497
Rue de Presbourg;22942;488723
Rue de Presles;22968;488526
Rue de Prony;23036;488825
Rue de Rambervillers;24064;488413
Rue de Rambouillet;23797;488436
Rue de Reims;23716;488285
Rue de Remusat;22719;488478
Rue de Rennes;23287;488489
Rue de Reuilly;23897;488446
Rue de Richelieu;23380;488678
Rue de Richemont;23694;488279
Rue de Rivoli;23422;488604
Rue de Romainville;24026;488774
Rue de Rome;23211;488809
Rue de Rouen;23745;488875
Rue de Rungis;23447;488218
Rue de Saigon;22906;488743
Rue de Saint-Petersbourg;23250;488811
Rue de Saint-Quentin;23555;488783
Rue de Saint-Senoch;22938;488817
Rue de Saint-Simon;23240;488564
Rue de Saintonge;23637;488628
Rue de Saussure;23114;488877
Rue de Savies;23907;488715
Rue de Schomberg;23633;488494
Rue de Seine;23368;488545
Rue de Sevigne;23628;488569
Rue de Sevres;23206;488485
Rue de Seze;23267;488703
Rue de Sfax;22850;488708
Rue de Siam;22747;488622
Rue de Sofia;23480;488848
Rue de Soissons;23713;488855
Rue de Solferino;23237;488605
Rue de Sontay;22843;488704
Rue de Stael;23103;488435
Rue de Ste Helene;23527;488192
Rue de Steinkerque;23435;488837
Rue de Stockholm;23224;488771
Rue de Suez;23520;488874
Rue de Sully;23635;488504
Rue de Surene;23207;488709
Rue de Tahiti;23998;488404
Rue de Talleyrand;23152;488583
Rue de Tanger;23692;488866
Rue de Teheran;23127;488767
Rue de Terre Neuve;23990;488548
Rue de Thann;23091;488807
Rue de Thionville;23835;488893
Rue de Thorigny;23629;488598
Rue de Thorins;23885;488331
Rue de Tlemcen;23880;488648
Rue de Tocqueville;23095;488859
Rue de Tolbiac;23592;488261
Rue de Tombouctou;23564;488846
Rue de Torcy;23627;488912
Rue de Toul;24025;488392
Rue de Toulouse;23954;488854
Rue de Tournon;23372;488503
Rue de Tourtille;23809;488716
Rue de Traktir;22919;488724
Rue de Tretaigne;23423;488922
Rue de Trevise;23453;488740
Rue de Tunis;23953;488502
Rue de Turbigo;23539;488649
Rue de Turenne;23645;488597
Rue de Turin;23246;488811
Rue de Valence;23498;488379
Rue de Valenciennes;23555;488782
Rue de Valois;23385;488646
Rue de Varenne;23208;488547
Rue de Varize;22575;488413
Rue de Vaucouleurs;23774;488692
Rue de Venise;23509;488611
Rue de Ventadour;23343;488669
Rue de Verneuil;23292;488579
Rue de Vezelay;23148;488777
Rue de Viarmes;23423;488629
Rue de Vichy;22945;488337
Rue de Vienne;23222;488775
Rue de Villafranca;23034;488315
Rue de Vimoutiers;23709;488316
Rue de Vintimille;23288;488821
Rue de Viroflay;23003;488425
Rue de Vouille;23072;488341
Rue Debelleyme;23634;488619
Rue Decamps;22797;488641
Rue Deguerry;23732;488686
Rue Dejean;23504;488873
Rue Delaitre;23873;488674
Rue Delambre;23272;488415
Rue Delbet;23198;488300
Rue Delouvain;23882;488756
Rue Demarquay;23591;488809
Rue Denis Poisson;22873;488764
Rue Denoyez;23785;488716
Rue des 2 Avenues;23576;488279
Rue des 2 Boules;23456;488590
Rue des 3 Portes;23481;488514
Rue des Abbesses;23374;488849
Rue des Alouettes;23855;488781
Rue des Amandiers;23897;488657
Rue des Anglais;23475;488506
Rue des Annelets;23894;488780
Rue des Apennins;23221;488908
Rue des Arbustes;23098;488282
Rue des Archives;23571;488603
Rue des Ardennes;23859;488887
Rue des Arenes;23538;488449
Rue des Arquebusiers;23666;488596
Rue des Artistes;23346;488265
Rue des Balkans;24066;488607
Rue des Barres;23552;488553
Rue des Beaux Arts;23355;488563
Rue des Belles Feuilles;22808;488680
Rue des Bergers;22813;488431
Rue des Berges Hennequines;23374;488253
Rue des Bernardins;23500;488492
Rue des Blancs Manteaux;23565;488592
Rue des Bluets;23829;488647
Rue des Bons Enfants;23384;488631
Rue des Boulangers;23529;488459
Rue des Boulets;23894;488523
Rue des Bourdonnais;23446;488594
Rue des Cadets de la France libre;23771;488287
Rue des Camelias;23087;488288
Rue des Canettes;23337;488518
Rue des Capucines;23294;488689
Rue des Carmes;23475;488491
Rue des Cascades;23911;488709
Rue des Cendriers;23875;488657
Rue des Chantiers;23547;488489
Rue des Chantres;23514;488536
Rue des Chartreux;23351;488419
Rue des Chaufourniers;23734;488781
Rue des Cheminets;23986;488877
Rue des cinq Diamants;23508;488288
Rue des Ciseaux;23340;488530
Rue des Cloys;23391;488928
Rue des Colonnes;23394;488695
Rue des Colonnes du Trone;23987;488461
Rue des Cordelieres;23488;488340
Rue des Cottages;23376;488909
Rue des Couronnes;23850;488702
Rue des Coutures Saint-Gervais;23622;488601
Rue des Dames;23211;488837
Rue des Dardanelles;22851;488818
Rue des Degres;23506;488693
Rue des Deux Gares;23575;488784
