haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonne_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,3,,1,,,,,,,,,,,,,,,,166000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,14,,,,,,1,,,,,,,,,,,,,,,,180000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,1,,,,,,1,,,,21,,,,3,,4,,,2,,,,,,,,,,,,,827000
,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,36,,,,,,2,,,,,,,,,,,,,,,,335000
,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,117,,,,,,6,,,,,,3,,,,,,,,,,1085000
,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,,1,,,,,,,,,,1,,,,1,,,1,,,,73,,,,,,3,,,2,,,,,,,,,,,,,588000
,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,35,,,,2,,2,,,,,,,,,,,,,,,,305000
,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,4,,3,,,,,,,,,,,,,,,,685000
,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,1,,,,27,,,,6,,2,,,,,,,,,,,,,,,,218000
,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,50,,,,,,5,,,,,,,,,,,,,,,,1217000
,,,,,1,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,55,,,,2,,2,,,,,,,,,,,,,,,,515000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,8,,,,,,,,,,,,,,,,2080000
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,1,,,,24,,,,6,,2,,,,,,,,,,,,,,,,197000
,1,,,,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,51,,,,1,,2,,,1,,,,,,,,,,,,,435000
,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,1,21,,,,,,1,,,,,,,,,,,,,,,,215000
,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,33,,,,,,2,,,,,,,,,,,,,,,,279000
,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,83,,,,,,4,,,2,,,,,,,,,,,,,735000
,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,128,,,,,,5,,,4,,,,,,,,,,,,,979000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,,,,,,1,,,,,,,,,,,,,,,,315000
