description,url,localisation,prix,agence,titre,infos
"a nation, dans une ancienne miroiterie, maison de 392 m2, son patio interieur et sa terrasse. l'acces a la maison passe par une cour commune arboree, protegee par un digicode. au calme absolu, la maison est exposee plein sud. elle s'articule autour d'un patio interieur, avec deux entrees separees. la maison compte 8 pieces dont 6 chambres. une terrasse ensoleillee et au calme de 17 m2 se trouve au dernier niveau, reliee a une cuisine d'ete.",http://www.explorimmo.com/annonce-5651700.html,paris 11eme,2890000,patrice besse,vente maison 8 pieces 368 m2,"nombre de pieces : 8, surface : 368 m2, nombre de chambres : 6, nombre de salles de bain : 2, exposition : non precise, salle de bain : oui, energie : d (217), ges : e (42)"
"paris 11rue saint bernard, nous vous proposons cette maison de charme avec comme un ""air de campagne"", cachee dans la verdure, ouvrant sur terrasse et jardin. d'une surface de 110 m2 en parfait etat, composee au rez-de-chaussee d'un superbe et grand espace sejour avec cuisine americaine, d'une chambre avec sa salle de bains, d'un wc. a l'etage par un bel escalier interieur d'une chambre de maitre ouvrant sur une terrasse arboree, d'une salle de bains, d'une troisieme chambre ainsi que d'un espace",http://www.explorimmo.com/annonce-6005502.html,"paris 11eme,",1350000,emporio estate group - haussmann prestige,vente maison 5 pieces 110 m2,"nombre de pieces : 5, surface : 110 m2, nombre de chambres : 3, nombre de salles de bain : 2, balcon : oui, jardin : oui, salle de bain : oui, terrasse : oui, energie : nc, ges : nc"
"paris xieme - situee sur le boulevard richard lenoir a proximite de la place de la bastille, inseree au sein d'immeubles haussmanniens de belle facture, nous vous presentons une maison d'architecte avec terrasse, dont la facade contemporaine dejoue la regularite des lignes de ces derniers. edifiee sur cinq niveaux totalisant une surface carrez de 182,72 m2, elle comprend, au troisieme etage, un espace de vie tres lumineux eu egard a ses imposantes baies vitrees, une cuisine ouverte restant a amenager,",http://www.explorimmo.com/annonce-6177874.html,paris 11eme,2600000,barnes paris est,"vente maison 5 pieces 182,72 m2","nombre de pieces : 5, surface : 182,72 m2, nombre de chambres : 4, nombre de salles de bain : 1, terrain : 62,4 m2, exposition : non precise, box : oui, salle d'eau : oui, salle de bain : oui, energie : nc, ges : nc"
"a l'abri des regards, cachee dans la verdure, maison de charme ancienne d'environ 110m2 avec jardin de 50m2 et grande terrasse arboree de 40m2. elle offre au rez-de-chaussee une belle piece a vivre avec cuisine a l'americaine, chambre avec salle de douches, wc, dressing. par un bel escalier en acier on accede au 1er etage avec grande mezzanine servant de bureau, et desservant une chambre principale avec acces sur la terrasse, salle de bains, et seconde chambre a l'etage. chauffage individuel au gaz",http://www.explorimmo.com/annonce-4445816.html,"paris 11eme,",1350000,colombus groupe,vente maison 5 pieces 110 m2,"nombre de pieces : 5, surface : 110 m2, nombre de chambres : 3, nombre de salles de bain : 2, type de chauffage : habitat individuel, statut : libre, exposition : est-ouest, jardin : oui, parking : oui, salle de bain : oui, terrasse : oui, energie : e (266), ges : e (37)"
"maison 4 pieces + jardin + terrasse quartier saint antoine/aligre. maison r+1 de 100m2 environ avec jardin de 50m2 qui se compose: en rez-de-chaussee d'une piece de vie avec sejour et cuisine americaine, une chambre avec salle de bains et wc, un dressing. a l'etage : espace bureau, salle de bains avec wc, deux chambres dont une parentale donnant acces a une terrasse de 35m2. calme absolu. unique a paris. a visiter rapidement.",http://www.explorimmo.com/annonce-7039560.html,"paris 11eme,",1350000,delon immobilier,vente maison 5 pieces 110 m2,"nombre de pieces : 5, surface : 110 m2, nombre de chambres : 3, nombre de salles de bain : 2, nombre de niveaux : rez-de-chaussee, cave : oui, salle de bain : oui, terrasse : oui, energie : e (266), ges : e (37)"
"st antoine/aligre. situee au coeur d'une copropriete verdoyante cette maison contemporaine de 110m2 sur deux niveaux se compose: au rez-de-chaussee d'un grand sejour avec cuisine americaine, donnant sur une charmante cour pavee d'environ 40m2 et d'une chambre avec dressing et salle de douche avec toilettes. a l'etage, un bureau, une salle de bains avec toilettes separees, deux chambres et une magnifique terrasse tres degagee de plus de 50m2 . une cave complete ce bien.",http://www.explorimmo.com/annonce-6662978.html,paris 11eme,1350000,groupe mobilis,vente maison 4 pieces 110 m2,"nombre de pieces : 4, surface : 110 m2, nombre de chambres : 3, nombre de salles de bain : 1, cave : oui, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : nc, ges : nc"
"orpi vous presente ce local commercial dans le quartier bastille a la frontiere du marais a proximite des metros chemin vert, breguet sabin, bastille. entierement sur fond de cour, en rez-de-chaussee et sous-sol. jouissance exclusive de la cour avec possibilite de garer 3 voitures. modulable, accessibilite handicape, monte-charge, bonne copropriete, beaux volumes avec pierres apparentes, faibles charges. . . copropriete de lots charges annuelles : 2332 euros",http://www.explorimmo.com/annonce-5972122.html,paris 11eme,650000,mcd-orpi,vente maison 3 pieces 113 m2,"nombre de pieces : 3, surface : 113 m2, nombre de chambres : 2, parking : oui, energie : nc, ges : nc"
"aux portes de paris, belle maison de 225 m2 sur 3 niveaux dont un grand espace bureau commercial a proximite du centre ville et du metro ligne 8 charenton ecoles. elle se compose d'un espace bureau en rez de chaussee d'environ 70 m2, au 1er, d'un immense salon/sejour de + de 90 m2 avec cheminee avec une belle veranda d'hiver donnant sur un jardin de 100 m2, d'une cuisine americaine equipee et a l'etage de 3 chambres, une salle de bain et une salle d'eau avec wc separe. le ravalement sera pris en",http://www.explorimmo.com/annonce-2560186.html,paris 12eme,1570000,capifrance,vente maison 6 pieces 225 m2,"nombre de pieces : 6, surface : 225 m2, nombre de chambres : 3, nombre de salles de bain : 2, terrain : 200 m2, type de chauffage : chauffage au fioul, exposition : non precise, salle de bain : oui, energie : d (203), ges : g (127)"
"paris xii. a vendre maison de villesitue rue de picpus dans le quartier porte doree, tres belle maison moderne construite en 1990 composee d'un jardin en rdc, sejour donnant sur jardin ainsi qu'une cuisine entierement equipee, 1er etage 2 chambres donnant sur grande terrasse surplombant le jardin, salle de bain et salle d'eau et wc, 2ieme etage 2 chambres donnant sur terrasse et salle de bain, sous-sol compose d'une cave a vin, grande salle de jeux, atelier. nombreux rangements dans la maison a",http://www.explorimmo.com/annonce-884974.html,"paris 12eme,",1450000,p & p partners,vente maison 5 pieces 193 m2,"nombre de pieces : 5, surface : 193 m2, nombre de chambres : 4, nombre de salles de bain : 2, type de chauffage : chauffage electrique, cave : oui, interphone : oui, parking : oui, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : nc, ges : nc"
"a 30 km de la porte d'italie, laure de sesame privilege vous propose, au coeur de varennes jarcy (91480), tres beau village classe et bien connu pour son moulin, de resider dans une grande propriete d'environ 185 m2 dans un parc arbore de 1243 m2, alliant le charme de la campagne et la proximite de paris rer d gare de combs-la-ville. en penetrant dans la maison, le hall d'entree et son bel escalier en travertin vous accueille dans un decor elegant et raffine. le grand sejour en l, sa belle cheminee",http://www.explorimmo.com/annonce-4446914.html,paris 12eme,568000,sesame privilege,vente maison 8 pieces 185 m2,"nombre de pieces : 8, surface : 185 m2, nombre de chambres : 5, nombre de salles de bain : 2, terrain : 1 243 m2, exposition : non precise, box : oui, cave : oui, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : d (205), ges : c (11)"
