description,url,localisation,prix,agence,titre,infos
"En plein 7eme arrondissement, Elegante maison annees 30 avec jardin clos. La propriete se situe sur la partie arriere d'une parcelle incluse dans un ensemble immobilier comprenant plusieurs batiments independants.L'entree commune privative de cet ensemble forme ainsi une sorte de sas pour la maison, elle meme retranchee derriere un mur ou se trouve la porte d'entree, ouverture cintree donnant sur un jardin qui evoque la discrete entree d'un monastere.",http://www.explorimmo.com/annonce-5651636.html,Paris 7eme,5900000,Patrice Besse,Vente hotel particulier 9 pieces 309 m2,"Nombre de pieces : 9, Surface : 309 m2, Nombre de chambres : 5, Nombre de salles de bain : 2, Exposition : Non precise, Salle de bain : oui, Energie : C (143), GES : D (33)"
"APPARTEMENT 4 PIECES INVALIDES, RUE DE VARENNE MUSEE RODIN Dans un bel immeuble fin XIX de la rue de Varenne, face au musee Rodin, entre deux cours, appartement de 110m2 compose d'un salon, une salle a manger-cuisine, deux grandes chambres avec chacune leur salle de bain. Appartement en parfait etat, decoration soignee. Excellent plan. Calme absolu. Expose Sud sur les pieces de reception.",http://www.explorimmo.com/annonce-23322231-1.html,Paris 7eme,1485000,Agence Varenne 7eme,Vente appartement 4 pieces 107 m2,"Nombre de pieces : 4, Surface : 107 m2, Nombre de chambres : 2, Etage : 1er etage, Calme : oui, Cave : oui, Cheminee : oui, Digicode : oui, Gardien : oui, Interphone : oui, Energie : NC, GES : NC"
"A Saint-Germain-des-Pres, dans un Hotel Particulier du 18e siecle, un appartement de 165 m2 sur trois niveaux. Transforme et renove avec soin par l'architecte Felice Fanuele, l'atelier de 151 m2 loi Carrez se deploie sur trois niveaux relies par un escalier interieur.",http://www.explorimmo.com/annonce-5652174.html,Paris 7eme,2400000,Patrice Besse,Vente appartement 5 pieces 151 m2,"Nombre de pieces : 5, Surface : 151 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Exposition : Non precise, Salle de bain : oui, Energie : C (118), GES : D (28)"
"Avenue Emile-Acollas, dans un tres bel immeuble1930, au 1er etage avec ascenseur, un appartement elegant de 206 m2 avec 7 fenetres sur le Champ-de-Mars et de tres beaux volumes de reception, comprenant: Immense hall d'entree Vaste salon Salle a manger 2 chambres 2 salles de bains Cuisine Communiquant avec le reste de l'appartement mais donnant sur l'avenue, avec une entree independante, un appartement comprenant 2 chambres, une salle d'eau et une kitchenette 2 caves",http://www.explorimmo.com/annonce-5757804.html,"Paris 7eme,",3200000,Philippe Menager & Nicolas Hug,Vente appartement 7 pieces 206 m2,"Nombre de pieces : 7, Surface : 206 m2, Nombre de chambres : 4, Nombre de salles de bain : 2, Etage : 1, Exposition : Non precise, Ascenseur : oui, Cave : oui, Digicode : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"A VENDRE APPARTEMENT 75007 PARIS BAC BON MARCHE 4 PIECES 99.08 m2 SQUARE DE COMMAILLE Dans un tres bel immeuble haussmannien, a deux pas du BON MARCHE et de la RUE DU BAC, elegant appartement en rez de chaussee sureleve comprenant une galerie d'entree, un salon, une salle a manger, deux chambres, une salle de bains (possibilite de creer une 2eme salle d'eau), une cuisine. Beaux volumes 3 m 20 HSP - Profession Liberale possible. Deux caves et deux cagibis completent ce bien. Appartement en etat d'usage.",http://www.explorimmo.com/annonce-22750085-1.html,Paris 7eme,1290000,Agence Varenne 7eme,Vente appartement 4 pieces 100 m2,"Nombre de pieces : 4, Surface : 100 m2, Nombre de chambres : 2, Terrain : 100 m2, Etage : Rez-de-chaussee, Calme : oui, Cave : oui, Digicode : oui, Gardien : oui, Interphone : oui, Jardin : oui, Energie : NC, GES : NC"
"Paris 7. Vue magnifique sur les jardins du Champ de Mars et la Tour Eiffel pour cet appartement luxueux de 200m2 environ en etage eleve dans un immeuble Hausmanien de grand standing en pierre de taille. Il se compose d'une galerie d'entree, d'une reception ensoleillee, d'une salle a manger, d'une cuisine, de 3 chambres avec 2 salles de bains.Tres beaux volumes. Cave. Une chambre de service .",http://www.explorimmo.com/annonce-1974590.html,"Paris 7eme,",Prix NC,Fleuron Immobilier,Vente appartement 5 pieces 200 m2,"Nombre de pieces : 5, Surface : 200 m2, Nombre de chambres : 3, Nombre de salles de bain : 2, Ascenseur : oui, Cave : oui, Salle de bain : oui, Energie : NC, GES : NC"
"Appartement Paris 2 piece(s) 40 m2 INVALIDES 75007 Tour Maubourg ECOLE MILITAIRE-AVENUE DE LA TOUR MAUBOURG Entre l'Ecole Militaire, le marche de la rue Cler et l'hotel des Invalides, au sixieme et dernier etage avec ascenseur d'un immeuble moderne avec gardien, un appartement de 38 m2,-deux pieces- ensoleille et offrant des vues degagees sur la pointe du dome des Invalides et la ravissante cour de l'immeuble. Il est compose d'un salon, une chambre, une salle de bains avec toilettes et une cuisine",http://www.explorimmo.com/annonce-22503604-1.html,Paris 7eme,445000,Agence Varenne 7eme,Vente appartement 2 pieces 38 m2,"Nombre de pieces : 2, Surface : 38 m2, Nombre de chambres : 1, Etage : 6eme etage, Ascenseur : oui, Calme : oui, Digicode : oui, Gardien : oui, Energie : NC, GES : NC"
"A Vendre, 75007 quartier Gros Caillou, dans un tres bel immeuble, un appartement traversant de 140 m2, tres lumineux, situe au 2eme etage et expose Sud. Compose d'une entree d'un grand espace a vivre avec cuisine ouverte sur la salle a manger, un salon, 3 chambres, une salle de bains et une salle de douche. Situe a 200 m de la Tour Eiffel, ce bien est ideal pour une famille avec deux enfants ou comme pied a terre a Paris.Information sur la copropriete : 29 lots principal, montant moyen annuel de",http://www.explorimmo.com/annonce-5812260.html,"Paris 7eme,",1995000,Coldwell Banker Groupe Demeure,Vente appartement 5 pieces 140 m2,"Nombre de pieces : 5, Surface : 140 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Etage : 2, Ascenseur : oui, Cave : oui, Salle d'eau : oui, Salle de bain : oui, Energie : D (166), GES : E (39)"
"Carre des Antiquaires, rue de Beaune. A l'etage noble d'un bel immeuble XVIIIe. Duplex avec tres belle hauteur sous plafond, comportant un vaste sejour, Cuisine ouverte sur salle a manger, En mezzanine bureau/bibliotheque, chambre, dressing, salle de bains avec douche et wc. Wc invites, buanderie. Tres beau volume. Jolie cour arboree. Calme.",http://www.explorimmo.com/annonce-5836074.html,"Paris 7eme,",1920000,Verneuil Immobilier,"Vente appartement 3 pieces 128,8 m2","Nombre de pieces : 3, Surface : 128,8 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Digicode : oui, Salle de bain : oui, Energie : C (101), GES : D (23)"
"Appartement - Rue de la Croix Nivert - Charmant 2 pieces de 35m2. Entierement refait a neuf. . Au second etage sans ascenseur d'un immeuble en pierre. Sejour avec cuisine ouverte, chambre, salle de bains, wc independants. Exposition Sud-Est. Poutres apparentes, parquet. Travaux de qualite. Gilles GUENNEC 06 16 37 23 27",http://www.explorimmo.com/annonce-5848060.html,"Paris 7eme,",389000,District,Vente appartement 2 pieces 35 m2,"Nombre de pieces : 2, Surface : 35 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Exposition : Non precise, Cave : oui, Interphone : oui, Salle de bain : oui, Energie : NC, GES : NC"
