description,metro/0,metro/1,metro/2,url,localisation,prix,titre,infos
"rue vieille du temple, proche de la rue de bretagne. marais. dans bel immeuble en pierre de taille. appartement en duplex, au 2e et 3e etage sur jolie cour calme. elegant et plein de charme. autour de 80 m2 au sol (73,73 m2 loi carrez), hauteur sous plafond 2,68 metres. grande entree, sejour avec possibilite de retablir cheminee, poutres apparentes. cuisine, 2 chambres, grand dressing, double wc, salle de bains. a rafraichir et a renover salle de bains. chauffage individuel electrique, porte blindee, double vitrage. cave, digicode vigipirate, interphone. creches, ecoles, commerces, metro a proximite. ravalement total, interieur et exterieur de l'immeuble termine en 2012. agences s'abstenir. contacter le proprietaire par courriel. visites sur rendez-vous. metro : filles du calvaire.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r404000250,paris 3e (75003),815000,vente appartement 4 pieces 74 m2 paris,"pieces : 4, chambres : 2, surface : 74, prix / m : 11.014"
"vend studio situe au premier etage d'un immeuble sis 17 rue castagnary ; il se compose de : - une piece principale de 17 m2, - une cuisine independante avec fenetre donnant sur la rue (refrigerateur et plaques chauffantes), - une salle de bains independante avec baignoire et lavabo, - un wc independant.",plaisance,pernety,volontaires,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r406200263,paris 15e (75015),200000,vente studio 22 m2 paris,"piece : 1, chambre : 1, surface : 22, prix / m : 9.091"
"145m2 (138,6 carrez) pour les amoureux du paris historique. au cur du quartier des gobelins, a l'oree du ve arrondissement. appartement en plusieurs niveaux a vendre, dans cette demeure (de cinq siecles et demi et obeissant desormais aux statuts de la copropriete), situee a l'arriere de la manufacture-musee des gobelins. entre cour et jardins, le rez-de-chaussee ainsi que l'entresol beneficient de la double exposition sud-ouest nord-est (persiennes externes), et le premier etage a vue sur un petit jardin verdoyant. le rez-de-chaussee tres sureleve est agreablement ombrage a la saison la plus chaude, et lumineux a la saison froide. differentes hauteurs de plafonds, poutres visibles, tomettes, carreaux de terre cuite anciens, isolation naturelle a l'ancienne (murs extremement epais). calme absolu, bien que jouxtant une avenue particulierement vivante, tous commerces, a quelques enjambees du fameux marche mouffetard, a quelques metres du metro gobelins ainsi que de quatre lignes de bus. non comprises dans les superficies annoncees, dependances : petite terrasse au 2e niveau et sa veranda, mezzanine a l'etage superieur - pour 29,6 m2 (chiffres notifies par le metreur specialiste) cave voutee en pierre taille, 12 m2, d'acces immediat. en option : 2 grands garages de plain-pied, dans la cour d'accueil. charges : 1118  par trimestre incluant le gardien sur place, l'entretien des cours, jardin, immeuble, l'assurance etc... taxe fonciere 1599 , classe energie e [294] offre reservee aux non professionnels.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r406800200,paris 13e (75013),1595000,vente appartement 5 pieces 139 m2 paris 13e,"pieces : 5, chambres : 3, surface : 139, prix / m : 11.475"
"particulier vend appartement 15 m2 environ, expose sud, au calme, 5eme etage sans ascenseur, dans immeuble securise. placards de rangement, coin cuisine, salle de douche wc.merci de me joindre le soir a partir de 17h.",charonne,philippe auguste,faidherbe,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r408400219,paris 11e (75011),140000,vente studio 15 m2 paris 11e,"piece : 1, surface : 15, prix / m : 9.333"
"sejour parquet bois, fenetre exposee ouest, coin cuisine equipee evier, plaques de cuisson, refrigerateur. placard, penderie, rangements et lingerie. instatllation pose lave linge. peinture blanche aux murs. salle d'eau avec douche et lavabo. belle hauteur sous plafond, creation d'une mezzanine possible. ideal pied a terre, location saisonniere ou bureau (profession liberale possible). dernier etage, escalier principal. immeuble pierre de taille, digicode. internet. tous commerces proches. metro alesia. studio disponible : surface 6 m2 loi carrez. (rapport locatif possible en location saisonniere : 1.000 euros par mois). 56.000  : paiement comptant, a vendre rapidement.",alesia,mouton-duvernet,denfert-rochereau (colonel rol-tanguy),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r407400994,paris 14e (75014),55000,vente piece 6 m2 paris,"piece : 1, surface : 6"
"bercy-village saint-emilion. appartement d'exception de 91m2 loi carrez plus loggia , 3 pieces entierement decore par decorateur style et meuble 1930, refait a neuf, au 6eme etage, ascenseur immeuble moderne, double salon avec grandes baies vitrees, orientation sud ouest, deux chambres, cuisine entierement equipe siemens, salle de bains, wc invites. cave, deux places de parkingle 1er numero jusqu' a 20 heures et le 2eme numero entre 15 h a 21 h",cour saint-emilion,dugommier,baron le roy,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r406900205,paris 12e (75012),1100000,vente appartement 3 pieces 93 m2 paris,"pieces : 3, chambres : 2, surface : 93, prix / m : 11.828"
"situe au coeur de la celebre rue des martyrs, proche de montmartre et des grands magasins. dans immeuble ancien, au 1er etage sans ascenseur. bel appartement renove, t2, 72 m2 (possibilite de t3), traversant et lumineux, alliant le charme de l'ancien et le confort contemporain. vaste sejour de 35 m2 parquete, grande chambre au calme avec vue sur cour, cuisine independante equipee, salle de bains. plus 1 cave. agences s'abstenir. great location for this 72 m2 apartment on the same floor, on renown rue des martyrs, in the 9th borough. walk to major department stores, small local shops as well as major historical sites. the apartment was renovated, to ally contemporary comfort and old-world charm. the large sejour room features original wood floors and large windows onto rue des martyrs. the bedroom looks out onto the quiet interior courtyard.",saint-georges,notre-dame-de-lorette,pigalle,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r403101814,paris 9e (75009),630000,vente appartement 2 pieces 72 m2 paris,"pieces : 2, chambres : 2, surface : 72"
"a l'angle de la rue marx dormoy et de la rue ordener. appartement 2 pieces 34,1 m2 loi carrez, au 3e sans ascenseur, plein sud sur cour : entree, chambre avec salle d'eau, sejour avec cuisine americaine, wc separes. immeuble ancien avec facade en crepi et appartement entierements refaits a neuf. photos et plan sur demande par mail. agences s'abstenir d'appeler",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r408400137,paris 18e (75018),215000,vente appartement 2 pieces 34 m2 paris 18e,"pieces : 2, chambre : 1, surface : 34, prix / m : 6.324"
"magnifique terrasse au coeur du 15eme ! a 2 pas du metro et du marche convention, bel appartement en parfait etat situe au 2eme etage d'un immeuble recent et parfaitement entretenu, d'une surface de 74 m2. la surface carrez est de 91 m2, car 1/3 de la terrasse est comptee en surface ponderee. il offre un sejour avec cuisine ouverte, donnant de plain-pied sur une magnifique terrasse de 53 m2 idealement orientee ouest et donnant sur un grand jardin arbore. les 2 chambres s'ouvrent elles aussi sur la terrasse, ce qui rend cet appartement tres agreable a vivre en plein paris ! salle de bains spacieuse avec douche a l'italienne et espace machines, 2eme wc independant. une cave avec porte blindee s'ajoute a ce bien d'exception, ainsi qu'un parking 2-3 places dans l'immeuble. calme absolu. climatisation dans la chambre principale et arrosage automatique sur la terrasse. agences n'appelez pas, deja en agence nous n'en prendrons pas d'autres, merci !!!",convention,vaugirard (adolphe cherioux),porte de versailles (parc des expositions de paris),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r406600383,paris 15e (75015),830000,vente appartement 3 pieces 91 m2 paris 15e,"pieces : 3, chambres : 2, surface : 91, prix / m : 9.121"
"paris 20e (75020). charmant studio de 25,5 m2, proche nation, avron et buzenval, quartier anime avec commerces, marche. studio refait a neuf en 2012, tres bien agence, sans aucune perte d'espace, calme et fonctionnel. situation en rez-de-chaussee sur cour privative, sans vis-a-vis. clair, grand fenetre principal sur cour. cuisine spacieuse et bien amenagee (refrigerateur, plaques vitroceramiques, four), bel espace a vivre, salle d'eau avec grande douche a l'italienne. digicode. ravalement exterieur + travaux chaufferie collectifs renoves en 2013. diagnostics en cours. plus de renseignements ou visites par courriel / telephone.",avron,buzenval,alexandre dumas,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r402700257,paris 20e (75020),189000,vente studio 25 m2 paris,"piece : 1, surface : 25, prix / m : 7.560"
"appartement 2 pieces (42 m2) situe entre les stations porte de clignancourt (3 mn), simplon (5 mn) et jules joffrin (7 mn). dans une rue donnant sur le boulevard ornano. quartier avec de nombreux commerces, bars, restaurants, salle de sport, en pleine reconfiguration. (a) : salon-cuisine (24 m2) sur cour, expose sud. cuisine refaite a neuf en 2014, laissee avec tous ses appareils de marque encastres (four, micro-ondes, refrigerateur, congelateur, plaque, hotte design, lave-vaisselle). electricite refaite en 2014 aux normes nf. parquet huile en chene au sol. (b) : grande chambre (14 m2) avec grand dressing (4 metres de long), etagere encastree et possibilite d'installer un bureau (ou un baby-foot). parquet huile en chene au sol. (c) : salle de bains et toilettes separes (4 m2), espace de rangement et espace pour la machine a laver. 1er etage d'un immeuble avec digicode et interphone. toiture et facade refaites, boites aux lettres neuves, renovation des parties communes en cours, installation de visiophones et de vigik dans les cages d'escalier. tous les travaux ont ete votes et deja finances. charges mensuelles de 140 . chauffe-eau et chauffage electrique, bonne isolation, consommation mensuelle d'electricite 45 . ideal jeune couple ou investisseur. (agences s'abstenir). contact par courriel de preference.",porte de clignancourt,simplon,jules joffrin,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r406900249,paris 18e (75018),298000,vente appartement 2 pieces 42 m2 paris,"pieces : 2, chambre : 1, surface : 42, prix / m : 7.095"
"studio atypique 31 m2. paris (75116). a 200 m de l'arc de triomphe, adresse de prestige. tres beau studio en etage eleve, completement renove sous architecture en 2000. partiellement insonorise et calmement situe sur cour verdoyante. entree, nombreux jolis rangements ; 2 lits (2.10x90) encastres et superposes (style couchette wagons-lits). impeccable salle de bains avec machine a laver/secher. cuisine tout equipee. grand et chaleureux salon oriente plein sud, grande baie vitree donnant sur balcon sur toute la largeur ; peu de vis-a-vis. grande cave, possibilite parking velo dans la cour ; digicode ; gardienne ; 2 ascenseurs. consommation enregistree individuellement eau/chauffage. charges : 137 euros par mois.",kleber,charles de gaulle - etoile,argentine,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r408300140,paris 16e (75016),398000,vente studio 31 m2 paris 16e,"piece : 1, surface : 31"
"rue stephenson, dans un immeuble de standing avec gardien, au 3eme etage avec 2 ascenseurs, charmant studio avec terrasse de 6 m2, comprenant une entree, une piece principale avec terrasse, une cuisine equipee, une salle de bains avec wc, une grande cave. ensoleille et calme. vue sacre-coeur. chauffage collectif immeuble. proche nombreux commerces et metros. (agence s'abstenir).",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r408000155,paris 18e (75018),190000,vente studio 26 m2 paris 18e,"piece : 1, surface : 26, prix / m : 7.308"
"gare du nord/gare de l'est. au 6e et dernier etage avec ascenseur dans un immeuble pierre de taille. studette equipee tres claire et calme (douche, cuisinette, lit coffre, double penderie et nombreux rangements). wc privatif sur le palier. ideal etudiant(e) ou pied a terre. (agences s'abstenir).merci de laisser un message sur le repondeur.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r407900129,paris 10e (75010),80000,vente studio paris 10e,piece : 1
"paris 15e convention/plaisance. immeuble 1910 pierre de taille ravale. 2/3 pieces 57 m2, renove, beau confortable bien distribue traversant clair et ensoleille 5e etage ascenseur. entree, placard, petit couloir, cuisine, double salon 2 doubles fenetres sur balconnets, cheminee, parquet, 1 chambre possibilite 2 avec 1 double fenetre sur balconnet, 2 penderies, salle de bains, wc separes. cave, chauffage individuel, digicode, gardienne. proximite transports commerces. agences abstenir !entre 10h et 21h",plaisance,pernety,porte de vanves,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r408300192,paris 15e (75015),498000,vente appartement 2 pieces 57 m2 paris 15e,"pieces : 2, chambre : 1, surface : 57, prix / m : 8.737"
"paris 8eme, champs-elysees. dans bel immeuble ancien, appartement design de 118 m2 au sol, au 6e et dernier etage avec ascenseur. beaucoup de charme et beaux volumes. grand salon/salle a manger de 42 m2, 2 chambres avec salle de bains et salle de douche. nombreux rangements. excellent plan, lumineux, calme absolu. tres bon etat. commerces et transports a proximite immediate. aucuns travaux de copropriete a prevoir. agences s'abstenir imperativement.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r199901660,paris 8e (75008),1120000,vente appartement 4 pieces 118 m2 paris,"pieces : 4, chambres : 2, surface : 118, prix / m : 9.492"
"maubert-mutualite. entre notre-dame et sorbonne, pres grands lycees, dans bel immeuble pierre de taille ferme, avec gardienne, au 7e sans ascenseur. : studio 14,50 m2 (11,84 loi carrez) meuble et clair, grande fenetre de toit type velux, cuisinette equipee fermee par porte kz. salle de bains separee tres claire avec baignoire et lavabo, wc interieur possible, wc sur palier propre. interphone, gardienne. libre d'occupation. diagnostics realises. prix a debattre.",maubert - mutualite,cluny - la sorbonne,saint-michel - notre-dame,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r406502322,paris 5e (75005),160000,vente studio 14 m2 paris 5e,"piece : 1, surface : 14, prix / m : 11.429"
"a vendre appartement renove 84 m2 (4 pieces + parking + cave) 9eme etage ascenseur, expose 3 facades (est, sud, ouest), tres lumineux donnant sur parc et zone pietonne. entree, cuisine, salle a manger, salon, deux salles de bains, deux chambre, wc, et nombreux rangements. parquet dans entree, salon et salle a manger. balcon. acces a personne a mobilite reduite. appartement refait a neuf, proche metro et tramway. a saisir.",porte de pantin (parc de la villette),butte du chapeau rouge,ourcq,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r404901056,paris 19e (75019),530000,vente appartement 4 pieces 84 m2 paris,"pieces : 4, chambres : 3, surface : 84, prix / m : 6.310"
"ideal premier achat ou pour investissement. charmant studio de 20 m2, avec cour de 20 m2 en jouissance exclusive, situe dans un immeuble calme et bien entretenu. charmant studio produit rare, tres calme, avec une cour interieure de 20 m2. ce qui pondere l'appartement a 30 m2. metro maraichers. un peu comme une petite maison dans paris, immeuble d'avant 1940. rez-de-chaussee interieur. il se constitue d'une grande piece a vivre cuisine ouverte equipee, et terrasse de 20 m2 en jouissance exclusive, entree, salle d'eau + wc. calme et lumineux. double vitrage, porte blindee, digicode. prix ferme. agences s'abstenir. (television, cuisine americaine), vendu meuble (frigo, plaque vitroceramique, micro-ondes, machine a laver le linge, canape, table et chaise, tabouret americain) double entree soit par la cour soit par l'allee, avec salle de douche et wc independant refaite a neuf. impots foncier 278 , charges trimestrielles 186  - pas de travaux dans l'immeuble prevus. pas de travaux prevus dans la copropriete. situe a cote de la station de metro maraichers et a une station de nation. quartier tres vivant et en pleine restructuration, a cote de tout. attention, nous ne repondons par aux courriels sans telephone, merci !",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r406900151,paris 20e (75020),185000,vente studio 20 m2 paris 20e,"piece : 1, surface : 20"
"proche commerces et transports. rue championnet (angle rue vauvenargues . dans bel immeuble en pierre de taille et briques de 1929 sur rue calme, studio vide de 15.24 m2 au 3e etage sur 7 avec ascenseur. piece de vie lumineuse avec coin cuisinette (2 plaques electriques), placards, dressing, salle d'eau carrelee (lavabo, wc, douche et ballon d'eau chaude neuf). chauffage collectif. double vitrage. hauteur sous plafond permettant installation de mezzanine. digicodes, gardien. ravalement de facade et mise aux normes ascenseur effectues. chaudiere remplacee.me contacter de preference sur portable",porte de saint-ouen,guy moquet,lamarck - caulaincourt,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-14-r407800575,paris 18e (75018),145000,vente studio 15 m2 paris 18e,"piece : 1, chambre : 1, surface : 15, prix / m : 9.667"
"appartement idealement situe a proximite du champ-de-mars, dans une residence de standing. grand deux pieces de 55 m2 en parfait etat : une entree, une piece principale comprenant un espace sejour et un espace salle a manger, une chambre, une salle de bains avec baignoire, une cuisine entierement equipee, un wc separe, une loggia accessible depuis la piece principale. nombreux rangements (entree, chambre, cuisine, salle de bain). une cave complete ce bien. possibilite de louer ou d'acquerir des emplacements de parking dans l'immeuble. appartement lumineux et calme expose sud-est et donnant sur cour-jardin. situe au 5e etage d'un immeuble en comprenant 12 avec ascenseur et monte-charge. chauffage collectif au gaz / fenetres double vitrage / volets roulants electriques. videosurveillance / digicode / interphone / gardiens. proximite transports et commerces.",la motte-picquet - grenelle,dupleix,ecole militaire,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r408000091,paris 15e (75015),605000,vente appartement 2 pieces 55 m2 paris 15e,"pieces : 2, chambre : 1, surface : 55"
"paris xii. appartement 4 pieces. a mi-parcours du bois de vincennes et de bercy village, appartement de 76 m2, 4pieces donnant en retrait d'une rue, tres clair sans vis a vis. entree, cuisine, double sejour, 2 chambres, salle de bain, toilettes independants, 2 grands placards. modifications pouvant etre facilement envisagees (cuisine ouverte, 3eme chambre...). desservi par le tramway et deux stations de metro tres proches porte de charenton et michel bizot. quartier en pleine evolution (grand paris), proximite commerces et ecoles. remise aux normes du compteur electrique et travaux d'embellissement a prevoir (devis a l'appui). diagnostic a disposition, classe energie d, ges e. visite sur rendez vous",porte de charenton,baron le roy,cour saint-emilion,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r199309899,paris 12e (75012),490000,vente appartement 4 pieces 76 m2 paris,"pieces : 4, chambres : 3, surface : 76, prix / m : 6.447"
"metro pigalle - superbe appartement f3 typiquement montmartrois - au coeur des commerces et transports - metro lignes 2 et 12 - tres bon etat - tres bon plan : aucune perte d'espace - 1er etage tres lumineux - une entree, une cuisine ouverte, un sejour, 2 chambres dont une suite parentale avec salle de bains equipee d'une douche et d'une baignoire, un dressing, wc separes - une cave - charges peu elevees - coup de coeur assure !",pigalle,abbesses,blanche,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r407501367,paris 18e (75018),528000,vente appartement 3 pieces 66 m2 paris 18e,"pieces : 3, chambres : 2, surface : 66, prix / m : 8.000"
"au pied de la butte montmartre. dans un immeuble pierre de taille, au 3eme etage avec ascenseur, appartement de 63 m2 avec parquet, moulures, cheminees, entierement renove. 3 pieces, cuisine equipee ,salle de douche, wc independant, debarras, balcon, vue sur le sacre coeur, exposition plein sud. digicode, concierge.merci d'appeler a partir de 9h et jusqu'a 20h",anvers,chateau rouge,barbes - rochechouart,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r406500140,paris 18e (75018),650000,vente appartement 3 pieces 63 m2 paris,"pieces : 3, chambres : 2, surface : 63, prix / m : 10.317"
"situe dans un immeuble charge d'histoire. l'appartement est tres lumineux double exposition (nord/sud). 105 m2 avec 3 chambres (15/14 et 11 m2), 2 salles de bains, double salon avec cuisine piece a vivre (45 m2). double entree sur palier (possibilite profession liberale ou studio independant). 3eme etage avec ascenseur, local a velo, gardienne. faibles charges (moins de 250 /mois). une tres belle cave voutee de pres de 18 m2 en tres bon etat. au centre est de paris tres bien desservie a republique. parquet en chene, cheminee fonctionnelle et moulures. l'immeuble dispose de deux entrees cote bd saint martin et cote rene boulanger. l'appartement donne en grande partie sur le boulevard (double vitrage) et en partie sur cour. cuisine totalement equipee comme en photo/dressing sur mesure facade miroir et beaucoup de rangements. agences s'abstenir.merci d'appeler le matin ou le soir jusqu'a 22h.",jacques bonsergent,strasbourg - saint-denis,temple,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r408300023,paris 10e (75010),890000,vente appartement 5 pieces 105 m2 paris 10e,"pieces : 5, chambres : 3, surface : 105, prix / m : 8.476"
"marche st-quentin. au 3e etage avec ascenseur. charmant 2 pieces de 42 m2 sur cour calme, avec belle piece a vivre + cuisine us (26m2), une belle chambre (12m2) et une salle d'eau avec douche et wc. pas de perte de place, il vous seduira par sa fonctionnalite. beaucoup de charme : parquet, lambris, cheminee, poutre. situe cour de la ferme st lazare, passage calme a 50m du marche st quentin, proche des ecoles, des commerces, de la toute nouvelle mediatheque francoise sagan et a 200m du metro. vendu avec 2 caves. appartement coup de coeur ! plus d'infos sur le site. charges coproprirete : 150e/mois taxe fonciere : 300-350e. visites prevues a partir du mercredi 21 en soiree, jeudi 22 en soiree, vendredi 23 de 9 h a 15 h, samedi 24 de 8 h a 15 h, dimanche 25 de 8 h a 12 h.idealement entre 13h et 14h ou a partir de 18h30. sinon, laissez moi un message tel ou courriel et je reviendrais vers vous",gare de l'est (verdun),chateau d'eau,gare du nord,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r408301939,paris 10e (75010),339000,vente appartement 2 pieces 42 m2 paris 10e,"pieces : 2, chambre : 1, surface : 42, prix / m : 8.071"
"a vendre 1 chambre de service amenagee, 75017 paris, 7eme etage sans ascenseur. compteur d'eau et chauffage independants, lot n1, surface 7.10 m2.merci d'appeler entre 17 h et 20 h",ternes,pereire (marechal juin),pereire - levallois,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r408301940,paris 17e (75017),78000,vente piece 7 m2 paris 17e,"piece : 1, chambre : 1, surface : 7, prix / m : 11.143"
"metro lamarck caulaincourt. quartier damremont. 4 pieces traversant 80,28 m2 loi carrez. balcon 10 m2 expose sud, 3 chambres dont deux sur parc, nombreux rangements et dressings. 2eme etage. cave. local a velo et poussettes. chauffage collectif chaudiere condensation gaz neuve. toiture et ascenseurs refaits l'an dernier. actuellement, refection des balcons et gardes corps. pas de travaux prevus. faibles charges. peintures de l'appartement refaites. proche commerces rue damremont et toutes commodites. bien sectorise ecole lamarck. damremont et college coysevox. rue et immeuble moderne calme. quartier vivant. tres bonne copropriete. pas de procedures en cours syndic. appartement bien distribue et tres agreable. parking en sus 20.000 euros",lamarck - caulaincourt,jules joffrin,guy moquet,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r406200972,paris 18e (75018),640000,vente appartement 4 pieces 80 m2 paris 18e,"pieces : 4, chambres : 3, surface : 80, prix / m : 8.000"
"a 5 mn a pied de la mairie du xviieme. dans un immeuble de 1860, aux 4eme et 5eme etages avec ascenseur, beau duplex traversant de 143 m2 (160 m2 de surface au sol) sur rue et grande cour arboree (exposition est-ouest). appartement calme et ensoleille, dernier etage entierement refait a neuf avec ouverture des combles, belle hauteur sous plafond (4 m), poutres apparentes et lumiere zenithale par 4 velux en toiture. double vitrage. 2 caves. gardien, digicode et interphone. possibilite de louer un parking a proximite. nombreux commerces et transports a proximite immediate (metros rome, place de clichy, europe, saint-lazare), sectorisation scolaire dautancourt (maternelle), truffaut (primaire), condorcet (college). le duplex se compose de la facon suivante : - 4eme etage : une entree, un sejour avec parquet (25 m2), une cuisine, une chambre sur cour (18 m2), un bureau (15 m2, possibilite de transformer en chambre ou double sejour), une salle de bains, un wc separe. - 5eme etage : un sejour/bibliotheque (23 m2), une mezzanine (15 m2, nombreux rangements possibles), deux chambres sur cour (20 m2 et 9 m2), une salle de douche avec wc. acces au 5eme par escalier interieur ou cage d'escalier independante (avec ascenseur). agences immobilieres et intermediaires s'abstenir.merci de me contacter entre 13h-14h et 20h-21h.",place de clichy,rome,la fourche,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r406100039,paris 17e (75017),1315000,vente appartement 143 m2 paris 17e,"chambres : 4, surface : 143"
"mairie 17e, quartier batignolles, metro rome 250 m. petite maison sur cour, 2 pieces 46 m2, tres calme, lumineuse - velux electrique - composee d'un sejour avec cuisine americaine et 2 fenetres, chambre avec grand dressing et fenetre, salle de bains avec baignoire, wc et fenetre, double vitrage, poutres apparentes d'origine, cheminee, chauffages electrique individuel, ballon eau chaude electrique, parquet, possibilite de mettre une table dehors. possibilite activite liberale egalement, beaucoup de cachet, gardien, double digicode, faibles charges, taxe fonciere 390e. ravalement immeuble cote rue et cour vote a la charge de l'acquereur. (agences s'abstenir).",rome,place de clichy,la fourche,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r408200055,paris 17e (75017),395000,vente appartement 2 pieces 46 m2 paris 17e,"pieces : 2, chambre : 1, surface : 46, prix / m : 8.587"
"a deux pas de la bastille, rue froment. immeuble pierre de paris, dans une rue calme. appartement de 3 pieces 65 m2 au 3eme etage d'une copropriete saine, loi carrez 64.5 m2, dote d'une cave au sous-sol. asceseur aux normes l'appartement se compose d'un salon/salle a manger, ainsi que de 2 chambres en enfilade, wc separes, possibilite d'intervertir la cuisine et la salle de bains, hauteur sous plafond 2,80 metres. faibles charges. 460 /trimestre. cour interieur partagee. immeuble sans vis-a-vis. metro bastille ou breguet - sabin, proche tout commerces. (agences s'abstenir).nous contacter de preference par courriel ou sms (message vocaux non consultes)",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r181611820,paris 11e (75011),579000,vente appartement 3 pieces 65 m2 paris 11e,"pieces : 3, chambres : 2, surface : 65"
"a vendre studio 13,49 m2 carrez, rue davy, a 276 m du metro brochant ou guy moquet, ainsi que de tous commerces. rez-de-chaussee donnant sur cour calme, piece principale 11,43 m2 avec placard integre, nouvelle fenetre oscillo-battante (2015), comprenant l'espace kitchenette avec placards, frigidaire, 2 plaques electriques, salle d'eau 2,06 m2 carrelee en totalite. chauffage electrique. petite copropriete. charges 230 euros par trimestre, taxe fonciere 179 euros. parfait pour pour premier investissement ou investisseurs. (agences s'abstenir).",brochant,guy moquet,la fourche,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-16-r408400049,paris 17e (75017),120000,vente studio 13 m2 paris 17e,"piece : 1, surface : 13, prix / m : 9.231"
"rue madame. au 5e avec ascenseur. a 50 m du jardin du luxembourg, studio 18 m2 au sol, accessible par ascenseur. partie principale de l'immeuble, porte cochere, tres securisee par 2 codes d'entree et gardien. vendu meuble. piece principale (canape-lit, bureau, meuble de rangement, ecran plat, fibre) en enfilade, cuisine equipee (frigo, evier, plaques electriques, meuble, four et micro-ondes), et une salle de douche (wc, lavabo et lave-linge). l'appartement est ensoleille et tres lumineux (expose est/sud), tres calme. etat neuf, refait par architecte. metro st-sulpice l4. bus 58, 95, 72. foncier 348 /an, charges 32 /mois.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r408300051,paris 6e (75006),245000,vente studio 18 m2 paris 6e,"piece : 1, surface : 18, prix / m : 13.611"
"a deux pas du champ de mars et de la tour eiffel, appartement de 75 m2 (3 pieces), en etage avec ascenseur, recemment completement reamenage par architecte, tres lumineux, plein sud sur ruelle pietonniere calme et arboree. 2 loggias, 1 grand salon, une chambre spacieuse avec dressing, 1 bureau, belle salle de bains avec baignoire et douche, cuisine amenagee. cave + possibilite parking sous l'immeuble en location. residence securisee avec gardienne temps plein. charges moderees incluant chauffage collectif.",dupleix,avenue emile zola,la motte-picquet - grenelle,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r407901629,paris 15e (75015),855000,vente appartement 3 pieces 75 m2 paris 15e,"pieces : 3, chambres : 2, surface : 75, prix / m : 11.400"
"paris 10eme. a 5 mn canal saint-martin, boulevard de la chapelle. appartement 46 m2, 2 pieces clair, calme, 1er etage sur cour pavee. details style loft : beton, metal, paves de verres, parquet, cuisine equipee, salle de bains. electricite refaite en 2011, chauffage central au gaz. bonne copropriete, charges syndic 200 /trimestre, taxes foncieres 347 .",stalingrad,louis blanc,la chapelle,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-15-r408000150,paris 10e (75010),350000,vente appartement 2 pieces 46 m2 paris 10e,"pieces : 2, chambre : 1, surface : 46, prix / m : 7.609"
"charmant deux pieces atypique de 33 m2, calme et ensoleille donnant sur 2 cours, 5 fenetres, wc independant et salle d'eau. cuisine ouverte sur salon, parquet, dressing, immeuble brique. chauffage central. 3e etage sans ascenseur, gardien. ideal jeune couple ou investisseur, en face du parc de belleville, quartier calme et commercant. loue actuellement, fin de preavis au 7 decembre. agences s'abstenir svp.avant 21h30",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r408000295,paris 20e (75020),265000,vente appartement 2 pieces 33 m2 paris 20e,"pieces : 2, chambre : 1, surface : 33"
