description,metro/0,metro/1,metro/2,url,localisation,prix,titre,infos
"studio dans un immeuble residentiel au 5eme etage avec ascenseur. agences s'abstenir, merci.",telegraphe,hopital robert-debre,porte des lilas,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r406900552,paris 20e (75020),188000,vente studio 24 m2 paris,"piece : 1, surface : 24"
"appartement 2 pieces de 38 m2 (3 pieces possibles). situe au pied du metro faidherbe chaligny (ligne 8) et proche de la ligne 1 (reuilly diderot), dans un quartier tres recherche et commercant, a proximite du marche d'aligre (3 min). au sein d'une petite copropriete (4 etages), le bien atypique, situe au 2eme etage est integralement sur cour au calme. il privilegie les volumes ouverts, avec un espace chambre/bureau dote d'un grand placard, une belle piece a vivre de 21 m2 avec cheminee en marbre et espace cuisine equipe, une salle de bains avec baignoire et toilettes comportant une grande fenetre. une cave. un local a velos. l'espace allie le charme de l'ancien (tomettes et cheminee) au confort moderne. excellent etat. fenetres double vitrage neuves dans tout l'appartement. faibles charges de copropriete de 100e/mois comprenant l'eau froide, taxe fonciere de 307e/an, edf 68e/mois, immeuble cable en fibre optique.",faidherbe - chaligny,faidherbe,ledru-rollin,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r408400422,paris 11e (75011),345000,vente appartement 2 pieces 38 m2 paris 11e,"pieces : 2, chambre : 1, surface : 38"
"studio de 22 m2, au 1er etage avec vue degagee au 2 rue labrouste. il comprend une entree avec une penderie puis une salle de douche (a l'italienne) wc, sejour avec cuisine ouverte. appartement refait recemment (peinture, parquet, fenetres), chauffe-eau electrique et chauffage collectif. a 10 minutes a pied de la gare montparnasse et des metros pasteur (lignes 6 et 12) vaugirard (ligne 12), volontaires (ligne 12) et plaisance (ligne 13). bus 42, 88, 95 a proximite de l'appartement",plaisance,volontaires,pernety,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r406801427,paris 15e (75015),180000,vente studio 22 m2 paris 15e,"piece : 1, surface : 22, prix / m : 8.182"
"montparnasse. immeuble haussmannien. 2eme etage, ascenseur 117,2 m2 (loi carrez) : salon, salle a manger salle a manger sur cour, 2 chambres + bureau (ou petite chambre), 2 salles de bains, wc separes, dressing.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r406600727,paris 6e (75006),1300000,vente appartement 5 pieces 117 m2 paris 6e,"pieces : 5, chambres : 3, surface : 117, prix / m : 11.111"
"paris 13e (75013), rue boussingault. beau 3 pieces traversant de 68 m2, avec balcon filant de 6 m2, dans immeuble 2000 de standing en pierre de taille, entre la butte aux cailles et le parc montsouris. digicode et et visiophone a l'entree. petite copropriete de 12 logements (41 lots). charges mensuelles 247e. excellente distribution : coin jour (entree, wc separes, sejour 27 m2, cuisine independante meublee et partiellement equipee), coin nuit (deux chambres, salle de bains, salle de douche/wc). nombreux rangements. chauffage et chauffe-eau electriques individuels. au 2eme etage avec vue degagee, large ascenseur. cave, parking. orientation sud-ouest. creches, ecoles, installations sportives et commerces a proximite. metro glaciere ou corvisart, rer cite universitaire. bus 67, 62, 21. tramway stade charlety. ecoles a 2 mn.",stade charlety,poterne des peupliers,cite universitaire,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r407900439,paris 13e (75013),540000,vente appartement 3 pieces 68 m2 paris 13e,"pieces : 3, chambres : 2, surface : 68, prix / m : 7.941"
"petit appartement de deux pieces au 4 eme etage d'environ 35 m2 comprenant salle d'eau, cuisine, salon et une chambre. travaux refaits a neuf.merci d'appeler entre 9h00 et 20h00 svp",porte de pantin (parc de la villette),butte du chapeau rouge,ourcq,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r408400408,paris 19e (75019),240000,vente appartement 2 pieces 35 m2 paris 19e,"pieces : 2, chambre : 1, surface : 35, prix / m : 6.857"
"appartement a paris 5e. metro : st-michel. studette proche de notre-dame, entierement refaite a neuf, au 3eme etage d'un immeuble ancien : sejour, salle d'eau + wc, coin-cuisine equipe, placard. fenetre double vitrage. calme. chauffe-eau et convecteur electriques. poutres apparentes. libre de suite.de preference tot le matin",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r408000440,paris 5e (75005),173000,vente studio 15 m2 paris 5e,"piece : 1, surface : 15, prix / m : 11.533"
"dans residence standing, 307 rue de belleville, appartement 2 pieces paris 19e, avec balcon filant sur rue. au 5eme etage avec ascenseur - calme, tres clair et vue degagee. surface 46 m2 (loi carrez). construction annee 1975. entree avec porte blindee, sejour - cuisine - couloir avec placards donnant sur chambre et salle de bains, wc independant avec lave-mains. bon etat general. chauffage central. hall d'entree securise avec interphone. cave desservie par l'ascenseur. proximite commerces et transports (tramway t3 et metros telegraphe et porte des lilas). proche peripherique.",hopital robert-debre,porte des lilas,telegraphe,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r403900955,paris 19e (75019),290000,vente appartement 2 pieces 46 m2 paris,"pieces : 2, chambre : 1, surface : 46"
"a deux pas de la tour eiffel et du centre beaugrenelle, agreables trois pieces de 70 m2 en etage eleve tres lumineux et ensoleille, vue degagee, bon plan, chauffage et eau chaude collectif, cuisine, salle de bains et wc refaits a neuf, deux chambres. faibles charges. metros : dupleix; bir hakeim. professionnels priere de s'abstenir.",dupleix,bir-hakeim (tour eiffel),champ de mars - tour eiffel,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r406200492,paris 15e (75015),590000,vente appartement 3 pieces 70 m2 paris 15e,"pieces : 3, chambres : 2, surface : 70, prix / m : 8.429"
"2/3 pieces 45 m2. appartement tres bien agence, disposant de : 1 chambre, 1 double sejour (possibilite d'y realiser aisement une 2e chambre), 1 cuisine equipee (rangements, plaques de cuisson gaz, hotte, bar) ouverte, salle de douche-wc (sanibroyeur), couloir. chauffage gaz individuel. refait a neuf en 2006. parquet. cheminee. au 4e sans ascenseur. tres lumineux (5 fenetres), quasiment pas de vis-a-vis. digicode. 2 caves. proche tous commerces. metro marcadet-poissonniers au pied de l'appartement (lignes 4 et 12). actuellement occupe par locataires (fin contrat bail mai 2016).",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r408400433,paris 18e (75018),330000,vente appartement 2 pieces 45 m2 paris 18e,"pieces : 2, chambre : 1, surface : 45, prix / m : 7.333"
