haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface_q,coordonnee_x_q,coordonnee_y_q,arrondissement_q,etage_q,nombre_etages_q,nombre_pieces_q,nombre_salles_de_bains_q,nombre_WC_q,nombre_chambres_q,date_refection_q,charges_q,nombre_fenetres_q,surface_balcon_q,date_construction_q,hauteur_plafond_q,taxe_fonciere_q,date_ravalement_q,honoraires_q,terrasse_surface_q,piscine_taille_q,classification_energie_q,prix
,1,,1,1,1,,,,1,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,1,49,23527,488450,5,,,2,,,1,,,,,,,,,,,,,1000
,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,1,,1,45,23987,488776,19,,,1,,,,,,,,,,,,,,,,1000
,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,1,,0,27,23796,488585,11,,,1,,,,,,,,,,,,,,,,0
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,,,1,1,,,1,,,,,,,,,,1,,1,25,23876,488496,12,,,1,,,1,,,,,,,,,,,,,0
,,,,,1,,,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,54,23693,488556,11,,,2,,,1,,,,,,,,,,,,,1000
,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,,1,,0,35,23221,488844,17,,,1,,,,,,,,,,,,,,,,1000
,1,,,,1,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,0,32,23445,488923,18,,,1,,,,,,,,,,,,,,,,0
,1,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,0,110,22761,488628,16,3,,4,,,3,,,,,,,,,,,,,3000
,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,1,70,22998,488842,17,,,3,1,,2,,,,,,,,,,,,,2000
1,1,,,1,1,,,,1,1,,1,,,,,,1,,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,66,22852,488419,15,3,,3,,,1,,,,,,,,,,,,,2000
,,,1,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,36,23730,488495,12,,,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,0,45,23404,488725,9,1,,2,,,,,,,,,,,,,,,,1000
,0,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,1,38,23489,488361,13,4,,1,,,,,,,,,,,,,,,,0
,1,,,1,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,0,33,22761,488628,16,3,,1,,,,,,,,,,,,,,,,1000
,,,,,1,,,,1,1,,1,,,,,,1,,1,,,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,24,23532,488894,18,1,,1,,,,,,2,,,,,,,,,,0
,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,1,65,22872,488725,16,,,2,,,1,,,,26,,,,,,,,,2000
,1,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,1,,,,,1,,1,105,23678,488817,10,,,5,,,3,,,,,,,,,,,,,2000
,0,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,42,23453,488202,13,,,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,53,22959,488848,17,,,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,25,23253,488933,18,,,2,,,1,,,4,,,,,,,,,,0
1,0,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,12,22608,488436,16,7,,1,,,,,,,,,,,,,,,,0
,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,0,50,23820,488828,19,1,,2,,,1,,,,,,,,,,,,,1000
,,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,,0,56,23221,488844,17,,,2,,,1,,,,,,,,,,,,,2000
,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,,,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,1,,1,58,23253,488933,17,7,,2,,,1,,,,,,,,,,,,,1000
,1,,1,,1,,,,1,1,,,,,,,,1,,,,,1,,,1,,1,,,,,,1,,1,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,1,47,23767,488425,12,,,2,,,1,,,,,,,,,,,,,1000
,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,,1,,0,40,23796,488585,11,,,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,1,1,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,1,,1,20,23527,488450,5,2,,1,,,,,,,,,,,,,,,,0
,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,0,30,23446,488462,5,2,,2,,,1,,,,,,,,,,,,,1000
,,,,1,1,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,0,15,23557,488562,4,,,1,,,,,,,,,,,,,,,,1000
