haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,,47,,,,2,,3,,,2,,,,,,,,,,,,,399000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,1,1,,1,1,,,,,,,,,,,1,,,,1,40,22619,488385,16,,,2,,,1,,,,,,,,,,,,,340000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,,,1,,,,,,,,,,,1,,,,,1,,1,,,,,,,,1,,,,0,70,22761,488628,16,8,,2,,,1,,,,,,,,,,,,,720000
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,115,22761,488628,16,,,4,,,3,,,,12,,,,,,,,,1095000
,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,35,23647,488761,10,2,,2,,,1,,,,,,,,,,,,,305000
,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,1,,,1,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,0,161,22761,488628,16,3,,5,,,3,,,,,,,,,,,,,1495000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,1,10,22741,488579,,,,,,,,,,,,,,,,,,,,95000
,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,81,23221,488844,17,2,,4,,,2,,,,,,,,,,,,,749000
,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0,81,23574,488719,10,4,,3,,,2,,,,,,,,,,,,,685000
,1,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,,1,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,0,73,23574,488719,10,,,3,,,2,,,,,,,,,,,,,588000
,1,,1,,1,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,0,51,23574,488719,10,1,,2,,,1,,,,,,,,,,,,,435000
1,0,,,,1,,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,27,23622,488783,10,6,,2,,,1,,,,,,,,,,,,,218000
