haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,35,23574,488719,10,2,,2,,,1,,,,,,,,,,,,,305000
,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,1,,,1,,,,,1,,1,1,,,,,,1,,,,161,22761,488628,16,3,,5,,,3,,,,,,,,,,,,,1495000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,10,22741,488579,,,,,,,,,,,,,,,,,,,,95000
,1,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,81,23221,488844,17,2,,4,,,2,,,,,,,,,,,,,749000
,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,81,23574,488719,10,4,,3,,,2,,,,,,,,,,,,,685000
,1,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,,,1,1,,,,,1,,,,,,,,,,1,,,,1,,,1,,,,73,23574,488719,10,,,3,,,2,,,,,,,,,,,,,588000
,1,,,,1,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,51,23574,488719,10,1,,2,,,1,,,,,,,,,,,,,435000
1,1,,,,1,,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,1,,,,27,23622,488783,10,6,,2,,,1,,,,,,,,,,,,,218000
,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,,,,148,23574,488719,10,,,5,,,3,,,,,,,,,,,,,1217000
,,,,,1,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,,,,1,1,,,,1,,,,,,1,,,,,,,,,,,55,23574,488719,10,2,,2,,,1,,,,,,,,,,,,,515000
,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,1,,1,1,,,,,,,,,1,21,23622,488783,10,,,1,,,,,,,,,,,,,,,,215000
,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,1,1,1,,,,,1,,1,,,,350,23574,488719,10,,,8,4,,4,,,,,,,,,,,,,2080000
1,1,,,,1,,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,1,,,,24,23574,488719,10,6,,2,,,1,,,,,,,,,,,,,197000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,1,33,23879,488410,12,4,,1,,,1,,,,,,,,,,,,,270000
,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,35,23879,488410,12,4,,2,,,1,,,,,,,,,,,,,270000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,125,23879,488410,12,,,4,,,3,,,,,,,,,,,,,740000
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,1,,,,1,,,,61,23858,488978,12,5,,3,,,2,,,,,,,,,,,,,173000
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,91,23879,488410,12,,,4,,,2,,,,,,,,,,,,,845000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,1,,,1,35,23879,488410,12,4,,1,,,,,,,,,,,,,,,,262000
,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,47,23879,488410,12,2,,2,,,,,,,,,,,,,,,,460000
1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,64,23879,488410,12,,,3,,,2,,,,,,,,,,,,,595000
,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1,,,,,,,,,1,,1,1,,,,,,,,,1,27,23879,488410,12,2,,1,,,,,,,,,,,,,,,,232000
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,73,23251,488700,9,7,,3,,,2,,,,,,,,,,,,,1980000
,,,,1,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,1,1,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,65,23404,488725,9,3,,3,,,2,,,,,,,,,,,,,720000
,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,15,23398,488749,,,,2,,,1,,,,,,,,,,,,,129000
,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,71,23404,488725,9,,,2,,,1,,,,,,,,,,,,,634000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,1,,,1,71,23404,488725,9,,,1,,,,,,,,,,,,,,,,560000
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,,42,23404,488725,9,,,2,,,1,,,,,,,,,,,,,345000
,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,1,,1,,,1,,,,,,,,,,1,,,1,,,,1,,,,70,23404,488725,9,3,,3,1,,2,,,,,,,,,,,,,795000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,185,23404,488725,9,1,,7,,,3,,,,,,,,,,,,,936000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,1,,,1,132,23199,488569,7,,,4,2,,3,,,,,,,,,,,,,2050000
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,1,,,,52,23199,488569,7,4,,2,,,1,,,,,,,,,,,,,600000
1,,,,1,1,,,,1,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,1,,1,,,,,,,,,1,1,,1,,,,1,,,,49,23199,488569,7,3,,2,,,1,,,,,,,,,,,,,670000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,1,,,,,,,,,1,1,,,,,,1,,,,261,23199,488569,7,1,,7,2,,4,,,,,,3,,,,,,,3200000
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,38,23199,488569,7,,,2,,,1,,,,,,,,,,,,,390000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,1,,,1,12,23199,488569,7,,,1,,,1,,,,,,,,,,,,,170000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,1,,,,,,1,1,,,,,,1,,,,82,23199,488569,7,5,,4,,,3,,,,,,,,,,,,,998000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,74,23199,488569,7,,,2,,,,,,,,,,,,,,,,1420000
,1,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,62,23199,488569,7,5,,2,,,1,,,,,,,,,,,,,1145000
,1,,,,1,,,,1,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,60,23199,488569,7,3,,3,,,,,,,,,,,,,,,,780000
,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,80,23327,488506,6,1,,3,2,,2,,,,,,,,,,,,,960000
,1,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,62,23327,488506,6,5,,2,,,1,,,,,,,,,,,,,1145000
,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,1,,,,,,1,,,,,,,1,,,,72,23327,488506,6,3,,3,,,2,,,,,,,,,,,,,1300000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,74,23327,488506,6,,,2,,,1,,,,,,,,,,,,,1420000
,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,136,23327,488506,6,2,,5,,,3,,,,,,,,,,,,,1890000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,103,23327,488506,6,,,5,2,,3,,,,,,,,,,,,,955000
,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,34,23327,488506,6,3,,2,,,,,,,,,,,,,,,,495000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,28,23327,488506,6,,,2,,,1,,,,,,,,,,,,,345000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,23327,488506,6,,,,,,,,,,,,,,,,,,,1365000
