Nom du lieu,Coordonne_x_millièmes,Coordonne_y_millièmes,Désignation
Michel Bizot,24029,488367,Michel Bizot
Michel-Ange-Auteuil,22642,488477,Michel-Ange - Auteuil
Michel-Ange-Molitor,22620,488448,Michel-Ange - Molitor
Mirabeau,22734,488473,Mirabeau
Miromesnil,23151,488737,Miromesnil
Monceau,23089,488806,Monceau
Montgallet,23898,488442,Montgallet
Montparnasse-Bienvenue,23226,488430,Montparnasse-Bienvenüe
Mouton-Duvernet,23294,488313,Mouton-Duvernet
Nation,23959,488484,"Nation (ligne 1,2,6)"
Nationale,23620,488327,Nationale
Notre-Dame de Lorette,23384,488766,Notre-Dame de Lorette
Notre-Dame des Champs,23288,488449,Notre-Dame des Champs
Oberkampf,23686,488645,Oberkampf
Odéon,23385,488522,Odéon
Olympiades,23672,488268,Olympiades
Opéra,23318,488707,Opéra
Orly-Ouest,23587,487285,Orly Ouest
Orly-Sud,23679,487278,Orly Sud
Ourcq,23860,488869,Ourcq
Palais-Royal (Musée du Louvre),23358,488628,Palais Royal – Musée du Louvre
Parmentier,23758,488651,Parmentier
Passy,22858,488576,Passy
Pasteur,23126,488429,Pasteur
Pelleport,24013,488685,Pelleport
Père-Lachaise,23867,488626,Père Lachaise
Péreire,22975,488845,Péreire
Pernéty,23176,488338,Pernéty
Philippe Auguste,23893,488583,Philippe Auguste
Picpus,24012,488452,Picpus
Pierre et Marie Curie,23772,488156,Pierre et Marie Curie
Pigalle,23377,488825,Pigalle
Place d'Italie,23557,488314,Place d'Italie
Place de Clichy,23273,488836,Place de Clichy
Place des Fêtes,23934,488768,Place des Fêtes
Place Monge (Jardin des Plantes),23521,488431,Place Monge
Plaisance,23140,488317,Plaisance
Pointe du Lac,24659,487679,Créteil – Pointe du Lac
Poissonnière,23496,488773,Poissonnière
Pont de Levallois-Bécon,22804,488971,Pont de Levallois
Pont de Neuilly,22598,488845,Pont de Neuilly
Pont de Sèvres,22302,488295,Pont de Sèvres
Pont Marie (Cité des Arts),23574,488533,Pont Marie
Pont Neuf,23419,488584,Pont Neuf
Porte d'Auteuil,22586,488480,Porte d'Auteuil
Porte d'Italie,23598,488189,Porte d'Italie
Porte d'Ivry,23690,488212,Porte d'Ivry
Porte d'Orléans (Général Leclerc),23248,488226,Porte d'Orléans
Porte Dauphine (Maréchal de Lattre de Tassigny),22766,488716,Porte Dauphine
Porte de Bagnolet,24079,488643,Porte de Bagnolet
Porte de Champerret,22927,488855,Porte de Champerret
Porte de Charenton,23997,488325,Porte de Charenton
Porte de Choisy,23643,488201,Porte de Choisy
Porte de Clichy,23137,488943,Porte de Clichy
Porte de Clignancourt,23447,488972,Porte de Clignancourt
Porte de la Chapelle,23590,488980,Porte de la Chapelle
Porte de la Villette,23858,488978,Porte de la Villette
Porte de Montreuil,24104,488534,Porte de Montreuil
Porte de Pantin,23914,488883,Porte de Pantin
Porte de Saint-Cloud,22568,488378,Porte de Saint-Cloud
Porte de Saint-Ouen,23288,488972,Porte de Saint-Ouen
Porte de Vanves,23053,488276,Porte de Vanves
Porte de Versailles,22880,488324,Porte de Versailles
Porte de Vincennes,24088,488472,Porte de Vincennes
Porte des Lilas,24063,488770,Porte des Lilas
Porte Dorée,24060,488354,Porte Dorée
Porte Maillot,22818,488779,Porte Maillot
Pré-Saint-Gervais,23990,488799,Pré Saint-Gervais
Pyramides,23336,488669,Pyramides
Pyramides,23336,488669,Pyramides
Pyrenees,23848,488738,Pyrénées
Quai de la Gare,23737,488373,Quai de la Gare
Quai de la Rapée,23670,488457,Quai de la Rapée
Quatre Septembre,23357,488693,Quatre Septembre
Rambuteau,23535,488614,Rambuteau
Ranelagh,22699,488553,Ranelagh
Raspail,23305,488389,Raspail
Réaumur-Sébastopol,23520,488663,Réaumur – Sébastopol
Rennes,23280,488480,Rennes
République,23636,488674,République
Reuilly-Diderot,23861,488472,Reuilly – Diderot
Richard-Lenoir,23720,488608,Richard Lenoir
Richelieu-Drouot,23390,488720,Richelieu Drouot
Riquet,23744,488881,Riquet
Robespierre,24235,488555,Robespierre
Rome,23209,488825,Rome
Rue de la Pompe (Avenue Georges Mandel),22776,488641,Rue de la Pompe
Rue des Boulets,23891,488521,Rue des Boulets
Rue du Bac,23255,488557,Rue du Bac
Rue Saint-Maur,23800,488639,Rue Saint-Maur
Saint-Ambroise,23740,488612,Saint-Ambroise
Saint-Augustin,23204,488746,Saint-Augustin
Saint-Denis-Porte de Paris,23574,489296,Saint-Denis Porte de Paris
Saint-Denis-Universite,23623,489456,Saint-Denis Université
Saint-Fargeau,24048,488719,Saint-Fargeau
Saint-Francois-Xavier,23140,488518,Saint-François-Xavier
Saint-Georges,23375,488785,Saint-Georges
Saint-Germain des Prés,23323,488535,Saint-Germain des Prés
Saint-Jacques,23362,488332,Saint-Jacques
Saint-Lazare,23261,488755,Saint-Lazare
Saint-Mandé,24186,488462,Saint-Mandé - Tourelle
Saint-Marcel,23614,488395,Saint-Marcel
Saint-Michel,23434,488532,Saint-Michel
Saint-Paul (Le Marais),23606,488551,Saint-Paul
Saint-Philippe du Roule,23098,488721,Saint-Philippe du Roule
Saint-Placide,23269,488465,Saint-Placide
Saint-Sébastien-Froissart,23670,488612,Saint-Sébastien - Froissart
Saint-Sulpice,23308,488508,Saint-Sulpice
Ségur,23078,488467,Ségur
