requete,formattage,lat,lng
"parvis+du+Sacre-Coeur,Paris,France","Parvis du Sacre-Cur, 75018 Paris, France",48.88617259999999,2.3428761
"rue+Damremont,Paris,France","Rue Damremont, 75018 Paris, France",48.8918437,2.3351057
"villa+Dancourt,Paris,France","Villa Dancourt, 75018 Paris, France",48.8827899,2.3412114
"rue+Dancourt,Paris,France","Rue Dancourt, 75018 Paris, France",48.8828587,2.3418603
"rue+Gaston+Darboux,Paris,France","Rue Gaston Darboux, 75018 Paris, France",48.899349,2.3696538
"rue+du+Lieutenant-Colonel+Dax,Paris,France","Rue du Lieutenant-Colonel Dax, 75018 Paris, France",48.90020819999999,2.3400804
"rue+Dejean,Paris,France","Rue Dejean, 75018 Paris, France",48.8873269,2.3504843
"rue+Jean+Dollfus,Paris,France","Rue Jean Dollfus, 75018 Paris, France",48.8969587,2.3335407
"voie+E/18,Paris,France","18 Voie Georges Pompidou, 75004 Paris, France",48.8542125,2.3548903
"villa+Etex,Paris,France","Villa Etex, 75018 Paris, France",48.8906208,2.3287438
"rue+Etex,Paris,France","Rue Etex, 75018 Paris, France",48.8905895,2.3282428
"rue+des+Fillettes,Paris,France","Rue des Fillettes, France",48.911083,2.3659405
"impasse+Saint-Francois,Paris,France","Impasse Saint-Francois, 75018 Paris, France",48.8965037,2.3441699
"passage+Ganneron,Paris,France","Passage Ganneron, 75018 Paris, France",48.88997089999999,2.3267572
"villa+Pierre+Ginier,Paris,France","Villa Pierre Ginier, 75018 Paris, France",48.8872268,2.3268243
"rue+Girardon,Paris,France","Rue Girardon, 75018 Paris, France",48.8880601,2.3377956
"rue+du+Professeur+Gosset,Paris,France","Rue du Professeur Gosset, Paris, France",48.90135189999999,2.3480487
"place+Jacques+Copeau,Paris,France","Paris, France",48.856614,2.3522219
"voie+D/6,Paris,France","6 Voie d'Issy, 92240 Malakoff, France",48.8139754,2.2789233
"rue+de+l'Echaude,Paris,France","Rue de l'Echaude, 75006 Paris, France",48.8542695,2.3363073
"rue+Jean-Francois+Gerbillon,Paris,France","Rue Jean-Francois Gerbillon, 75006 Paris, France",48.847608,2.3246662
"impasse+Hautefeuille,Paris,France","Impasse Hautefeuille, 75006 Paris, France",48.8524855,2.3430024
"place+Andre+Honnorat,Paris,France","Place Andre Honnorat, 75006 Paris, France",48.844558,2.336491
"rue+Huysmans,Paris,France","Rue Huysmans, 75006 Paris, France",48.84558370000001,2.3286535
"place+de+l'Institut,Paris,France","Place de l'Institut, 75006 Paris, France",48.8575072,2.3368217
"place+Pierre+Lafue,Paris,France","Paris, France",48.856614,2.3522219
"allee+Maintenon,Paris,France","Allee Maintenon, 75006 Paris, France",48.8459813,2.3213553
"quai+du+Lot,Paris,France","Avenue de Paris, 47300 Villeneuve-sur-Lot, France",44.4462351,0.7041427000000001
"place+du+Maroc,Paris,France","Rue du Maroc, 75019 Paris, France",48.8866081,2.3690828
"rue+Melingue,Paris,France","Rue Melingue, Paris, France",48.8755655,2.3857647
"rue+de+la+Meurthe,Paris,France","Rue de la Meurthe, 75019 Paris, France",48.88949040000001,2.3830901
"rue+des+Mignottes,Paris,France","Rue des Mignottes, 75019 Paris, France",48.87981,2.3916618
"avenue+Moderne,Paris,France","Avenue Moderne, 75019 Paris, France",48.8835884,2.3821128
"promenade+Signoret-Montand,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+Mouzaia,Paris,France","Rue de Mouzaia, 75019 Paris, France",48.880316,2.3948049
"voie+N/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.8542102,2.3548962
"rue+de+Nantes,Paris,France","Rue de Nantes, 75019 Paris, France",48.8920527,2.3817055
"rue+de+la+Solidarite,Paris,France","Rue de la Solidarite, France",48.85286,2.4434036
"rue+Michel+Tagrine,Paris,France","Rue Michel Tagrine, 75019 Paris, France",48.8778811,2.3754548
"voie+BR/15,Paris,France","15 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.83327730000001,2.260195
"avenue+de+la+Porte+Brancion,Paris,France","Avenue de la Porte Brancion, Paris, France",48.8268081,2.3006711
"rue+Alexandre+Cabanel,Paris,France","Rue Alexandre Cabanel, 75015 Paris, France",48.8485692,2.3024061
"rue+Camulogene,Paris,France","Rue Camulogene, 75015 Paris, France",48.829349,2.3028385
"rue+Castagnary,Paris,France","Rue Castagnary, 75015 Paris, France",48.83231869999999,2.307826
"voie+CE/15,Paris,France","Paris, France",48.856614,2.3522219
"rue+Cepre,Paris,France","Rue Cepre, 75015 Paris, France",48.8465856,2.3038023
"rue+Saint-Charles,Paris,France","Rue Saint-Charles, 75015 Paris, France",48.8447684,2.2839
"rue+Dupleix,Paris,France","Rue Dupleix, 75015 Paris, France",48.8515245,2.2970634
"rue+Duranton,Paris,France","Rue Duranton, 75015 Paris, France",48.8397127,2.2868792
"rue+des+Entrepreneurs,Paris,France","Rue des Entrepreneurs, 75015 Paris, France",48.84469259999999,2.2904222
"rue+du+General+Estienne,Paris,France","Rue du General Estienne, 75015 Paris, France",48.8442663,2.2839902
"place+Falguiere,Paris,France","Place Falguiere, 75015 Paris, France",48.836257,2.3102219
"rue+Fenoux,Paris,France","Rue Fenoux, 75015 Paris, France",48.8397748,2.2978342
"rue+Fizeau,Paris,France","Rue Fizeau, 75015 Paris, France",48.8306392,2.3037332
"villa+La+Fresnaye,Paris,France","Villa la Fresnaye, 75015 Paris, France",48.83843299999999,2.3089253
"boulevard+Gallieni,Paris,France","Boulevard Gallieni, 75015 Paris, France",48.8299956,2.2673689
"rue+Eugene+Gibez,Paris,France","Rue Eugene Gibez, 75015 Paris, France",48.8356014,2.2952429
"rue+Leblanc,Paris,France","Rue Leblanc, 75015 Paris, France",48.8384923,2.2760217
"rue+Vigee-Lebrun,Paris,France","Rue Vigee-Lebrun, 75015 Paris, France",48.8389535,2.3105871
"rue+Linois,Paris,France","Rue Linois, 75015 Paris, France",48.84804279999999,2.2835806
"villa+Jean-Baptiste+Luquet,Paris,France","Villa Jean-Baptiste Luquet, 75015 Paris, France",48.845996,2.2874861
"rue+des+Vignoles,Paris,France","Rue des Vignoles, 75020 Paris, France",48.854576,2.4006172
"avenue+de+la+Porte+de+Vincennes,Paris,France","Avenue de la Porte de Vincennes, Paris, France",48.8468755,2.413678
"avenue+de+la+Sibelle,Paris,France","Avenue de la Sibelle, 75014 Paris, France",48.82568269999999,2.3382563
"place+Pierre+Dux,Paris,France","Chemin de Pierre, 79000 Niort, France",46.3179263,-0.4801371999999999
"allee+Maria+Callas,Paris,France","Allee Maria Callas, 75016 Paris, France",48.8636906,2.2821014
"esplanade+Leo+Hamon,Paris,France","Esplanade Leo Hamon, 75013 Paris, France",48.8367796,2.3512338
"rue+du+Pelican,Paris,France","Rue du Pelican, 75001 Paris, France",48.8625734,2.3398676
"rue+des+Precheurs,Paris,France","Rue des Precheurs, 75001 Paris, France",48.8619689,2.3487648
"galerie+des+Proues,Paris,France","Galerie des Proues, 75001 Paris, France",48.8633233,2.3372653
"rue+des+Prouvaires,Paris,France","Rue des Prouvaires, 75001 Paris, France",48.8614805,2.3441506
"rue+des+Pyramides,Paris,France","Rue des Pyramides, 75001 Paris, France",48.865332,2.3332696
"rue+du+Roule,Paris,France","Rue du Roule, 75001 Paris, France",48.8606212,2.3437012
