requete,formattage,lat,lng
"voie+FN/20,Paris,France","Paris, France",48.856614,2.3522219
"place+Saint-Pierre,Paris,France","Place Saint-Pierre, 75018 Paris, France",48.8843879,2.3437983
"rue+des+Poissonniers,Paris,France","Rue des Poissonniers, 75018 Paris, France",48.8934844,2.3527123
"rue+Tourlaque,Paris,France","Rue Tourlaque, 75018 Paris, France",48.8877209,2.3330294
"rue+Tristan+Tzara,Paris,France","Rue Tristan Tzara, 75018 Paris, France",48.8950227,2.3641589
"rue+Saint-Vincent,Paris,France","Rue Saint-Vincent, 75018 Paris, France",48.8884951,2.3407782
"rue+Felix+Ziem,Paris,France","Rue Felix Ziem, 75018 Paris, France",48.8897464,2.3332468
"rue+Villiers+de+l'Isle+Adam,Paris,France","Rue Villiers de l'Isle Adam, 75020 Paris, France",48.8676267,2.3965416
"voie+AH/20,Paris,France","Paris, France",48.856614,2.3522219
"rue+des+Amandiers,Paris,France","Rue des Amandiers, 75020 Paris, France",48.8657488,2.3897589
"voie+AO/20,Paris,France","Paris, France",48.856614,2.3522219
"cite+Aubry,Paris,France","Cite Aubry, 75020 Paris, France",48.8573936,2.3964355
"place+de+la+Porte+de+Bagnolet,Paris,France","Place de la Porte de Montreuil, 75020 Paris, France",48.8542326,2.4129346
"place+Maurice+Chevalier,Paris,France","Place Maurice Chevalier, 94130 Nogent-sur-Marne, France",48.8321198,2.4905784
"impasse+des+Chevaliers,Paris,France","Impasse des Chevaliers, 75020 Paris, France",48.871974,2.3965359
"rue+de+la+Chine,Paris,France","Rue de la Chine, 75020 Paris, France",48.8674863,2.398849
"voie+CJ/20,Paris,France","Paris, France",48.856614,2.3522219
"rue+du+Clos,Paris,France","Rue du Clos, 75020 Paris, France",48.8575859,2.4074187
"villa+des+Trois+Couronnes,Paris,France","Villa des 3 Couronnes, 75020 Paris, France",48.8698075,2.3815928
"rue+Delaitre,Paris,France","Rue Delaitre, 75020 Paris, France",48.8674667,2.3873769
