requete,formattage,lat,lng
"ruelle+du+Soleil+D'Or,Paris,France","Ruelle du Soleil d'Or, 75015 Paris, France",48.8415033,2.3045666
"rue+Dalou,Paris,France","Rue Dalou, 75015 Paris, France",48.8425978,2.3145151
"rue+de+Dantzig,Paris,France","Rue de Dantzig, 75015 Paris, France",48.8330131,2.2981687
"rue+Georges+Dumezil,Paris,France","Rue Georges Dumezil, 75015 Paris, France",48.8525631,2.2947452
"villa+Santos-Dumont,Paris,France","Villa Santos-Dumont, 75015 Paris, France",48.8330971,2.3044141
"rue+Dupleix,Paris,France","Rue Dupleix, 75015 Paris, France",48.8515245,2.2970634
"rue+Duranton,Paris,France","Rue Duranton, 75015 Paris, France",48.8397127,2.2868792
"rue+des+Entrepreneurs,Paris,France","Rue des Entrepreneurs, 75015 Paris, France",48.84469259999999,2.2904222
"rue+du+General+Estienne,Paris,France","Rue du General Estienne, 75015 Paris, France",48.8442663,2.2839902
"place+Falguiere,Paris,France","Place Falguiere, 75015 Paris, France",48.836257,2.3102219
"rue+Fizeau,Paris,France","Rue Fizeau, 75015 Paris, France",48.8306392,2.3037332
"rue+Ernest+Hemingway,Paris,France","Rue Ernest Hemingway, 75015 Paris, France",48.83728600000001,2.2747023
"rue+Hericart,Paris,France","Rue Hericart, 75015 Paris, France",48.8489162,2.2867403
"rue+Paul+Hervieu,Paris,France","Rue Paul Hervieu, 75015 Paris, France",48.8458915,2.2801626
"rue+Jongkind,Paris,France","Rue Jongkind, 75015 Paris, France",48.8391965,2.2803747
"villa+Juge,Paris,France","Villa Juge, 75015 Paris, France",48.8495102,2.2933597
"rue+de+la+Montagne+de+L'Esperou,Paris,France","Rue de la Montagne de l'Esperou, 75015 Paris, France",48.8420165,2.2760736
"rue+du+General+De+Larminat,Paris,France","Rue du General de Larminat, 75015 Paris, France",48.8501603,2.298156
"rue+Gustave+Larroumet,Paris,France","Rue Gustave Larroumet, 75015 Paris, France",48.8436335,2.2964782
"rue+Chasseloup-Laubat,Paris,France","Rue Chasseloup Laubat, 75015 Paris, France",48.8474925,2.3050487
"rue+Leblanc,Paris,France","Rue Leblanc, 75015 Paris, France",48.8384923,2.2760217
"rue+Vigee-Lebrun,Paris,France","Rue Vigee-Lebrun, 75015 Paris, France",48.8389535,2.3105871
"rue+Linois,Paris,France","Rue Linois, 75015 Paris, France",48.84804279999999,2.2835806
"villa+Jean-Baptiste+Luquet,Paris,France","Villa Jean-Baptiste Luquet, 75015 Paris, France",48.845996,2.2874861
"rue+Clemence+Royer,Paris,France","Rue Clemence Royer, 75001 Paris, France",48.8633445,2.343035
"rue+du+Mont+Thabor,Paris,France","Rue du Mont Thabor, 75001 Paris, France",48.86616069999999,2.3272013
"rue+Therese,Paris,France","Rue Therese, 75001 Paris, France",48.8662093,2.3355605
"galerie+de+Valois,Paris,France","Galerie de Valois, 75001 Paris, France",48.8639764,2.3378831
"rue+des+Bons+Vivants,Paris,France","Paris, France",48.856614,2.3522219
"rue+des+Capucines,Paris,France","Rue des Capucines, Paris, France",48.8689074,2.3294183
"rue+La+Feuillade,Paris,France","Rue la Feuillade, 75002 Paris, France",48.8660721,2.3398301
"avenue+de+l'Opera,Paris,France","Avenue de l'Opera, Paris, France",48.8665652,2.3340644
"rue+Rambuteau,Paris,France","Rue Rambuteau, Paris, France",48.8619037,2.3505075
"voie+Georges+Pompidou,Paris,France","Voie Georges Pompidou, Paris, France",48.862976,2.323793
"pont+des+Arts,Paris,France","Pont des Arts, Pont des Arts, 75006 Paris, France",48.85834240000001,2.3375084
"rue+de+Palestro,Paris,France","Rue de Palestro, 75002 Paris, France",48.8657475,2.3517039
"passage+des+Panoramas,Paris,France","Passage des Panoramas, Paris, France",48.8708986,2.3416312
"place+des+Petits+Peres,Paris,France","Place des Petits Peres, 75002 Paris, France",48.8664572,2.3408118
"rue+des+Petits+Peres,Paris,France","Rue des Petits Peres, 75002 Paris, France",48.86622440000001,2.3406041
"rue+Notre-Dame+de+Recouvrance,Paris,France","Rue Notre Dame de Recouvrance, Paris, France",48.870025,2.3482466
"rue+Saint-Sauveur,Paris,France","Rue Saint-Sauveur, 75002 Paris, France",48.8659718,2.3489863
"rue+du+Quatre+Septembre,Paris,France","Quatre-Septembre, 75002 Paris, France",48.8696059,2.3358375
"galerie+Vivienne,Paris,France","Galerie Vivienne, 75002 Paris, France",48.8666955,2.3397355
"rue+Volney,Paris,France","Rue Volney, Paris, France",48.869449,2.3299765
"boulevard+des+Capucines,Paris,France","Boulevard des Capucines, Paris, France",48.8704422,2.3310352
"boulevard+de+Bonne+Nouvelle,Paris,France","Boulevard de Bonne Nouvelle, Paris, France",48.870143,2.3504714
"rue+des+Arquebusiers,Paris,France","Rue des Arquebusiers, Paris, France",48.8596197,2.3666523
"rue+Salomon+de+Caus,Paris,France","Rue Salomon de Caus, Paris, France",48.8676261,2.3532938
"rue+du+Forez,Paris,France","Rue du Forez, 75003 Paris, France",48.863829,2.3628113
"rue+Froissart,Paris,France","Rue Froissart, 75003 Paris, France",48.8615259,2.3662197
"passage+des+Gravilliers,Paris,France","Passage des Gravilliers, 75003 Paris, France",48.863478,2.3569004
"rue+des+Haudriettes,Paris,France","Rue des Haudriettes, 75003 Paris, France",48.8615692,2.3575761
"rue+Quincampoix,Paris,France","Rue Quincampoix, Paris, France",48.8612315,2.3505884
"rue+Vieille+du+Temple,Paris,France","Rue Vieille du Temple, Paris, France",48.859515,2.359995
"boulevard+Beaumarchais,Paris,France","Boulevard Beaumarchais, Paris, France",48.8572611,2.368146
"rue+Adolphe+Adam,Paris,France","Rue Adolphe Adam, 75004 Paris, France",48.8572037,2.348458
"quai+d'Anjou,Paris,France","Quai d'Anjou, 75004 Paris, France",48.851915,2.3586103
"passage+Jean+Beausire,Paris,France","Passage Jean Beausire, 75004 Paris, France",48.8542721,2.3677846
